COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
JEFFERSON,0.0,0.37,5.39,46.69,48.45,,77.82,5.22,0.0,51.55,0.0,1.49,53.31,0.0,0.0,15.24,59.16,87.53,22,2017,,,,,,
KINGS,0.07,15.15,39.41,70.52,46.93,,81.15,22.2,6.57,51.47,0.0,0.5,27.93,49.04,0.0,15.19,12.44,77.45,33,2017,,,,,,
LEWIS,0.0,0.0,0.0,49.25,50.42,,61.37,0.0,0.0,49.58,0.0,0.0,50.75,0.0,0.0,11.79,26.25,92.47,23,2017,,,,,,
LIVINGSTON,0.0,0.0,0.0,32.19,48.35,,78.76,0.0,0.0,51.65,0.0,0.0,67.81,0.0,0.0,9.25,59.07,91.63,24,2017,,,,,,
MADISON,0.22,0.0,0.0,35.7,48.87,,77.62,0.0,0.0,50.78,0.0,0.19,63.95,0.0,0.0,13.17,64.23,89.64,25,2017,,,,,,
MONROE,0.0,3.31,22.22,40.28,49.75,,86.22,10.56,2.76,48.59,0.0,0.72,57.76,28.43,0.0,12.36,59.21,85.59,26,2017,,,,,,
MONTGOMERY,0.0,0.0,1.95,47.67,50.33,,83.49,18.15,1.6,49.67,0.0,0.22,52.33,47.18,0.0,16.51,46.6,80.56,27,2017,,,,,,
NASSAU,0.03,10.34,12.33,26.41,48.71,,88.47,18.84,3.2,51.26,0.0,0.14,73.52,41.78,0.0,10.83,54.91,93.16,28,2017,,,,,,
NEW YORK,0.06,13.3,21.85,65.52,53.28,,76.62,42.82,7.26,45.81,0.0,0.45,33.34,33.67,0.0,14.14,9.36,78.35,31,2017,,,,,,
NIAGARA,1.75,0.94,11.73,37.48,48.47,,85.12,2.11,0.0,51.53,0.0,0.82,62.52,0.0,0.0,12.8,78.48,87.4,40,2017,,,,,,
ONEIDA,0.0,5.22,8.09,46.68,48.98,,83.66,4.22,2.42,51.02,0.0,0.37,53.32,23.4,0.0,12.89,62.47,88.04,41,2017,,,,,,
ONONDAGA,0.31,3.89,16.93,38.16,49.32,,85.92,4.78,2.78,50.68,0.0,0.86,61.84,26.73,0.0,12.66,65.0,85.53,42,2017,,,,,,
ONTARIO,0.0,0.75,2.36,31.95,48.31,,83.96,4.35,0.53,51.69,0.0,0.96,68.05,12.37,0.0,8.26,66.83,92.1,43,2017,,,,,,
ORANGE,0.0,1.3,13.23,38.05,48.7,,85.21,24.41,1.1,51.27,0.0,0.24,61.16,32.38,0.0,11.79,57.68,89.76,44,2017,,,,,,
ORLEANS,0.0,0.0,1.28,46.33,49.33,,87.48,4.12,0.0,50.67,0.0,1.98,53.67,0.0,0.0,12.52,73.62,91.44,45,2017,,,,,,
OSWEGO,0.08,0.08,0.48,46.37,48.44,,88.14,1.83,0.23,51.56,0.0,0.19,53.63,9.35,0.0,11.86,75.68,84.6,46,2017,,,,,,
OTSEGO,0.0,0.79,2.12,38.82,49.54,,70.89,1.5,0.0,50.46,0.0,0.0,61.18,0.0,0.0,13.41,41.82,90.21,47,2017,,,,,,
PUTNAM,0.0,1.71,1.5,17.99,49.96,,86.17,15.72,0.31,50.04,0.0,0.22,82.01,10.19,0.0,13.83,77.98,94.53,48,2017,,,,,,
QUEENS,0.36,28.0,20.0,68.24,47.32,,79.96,35.56,7.71,51.71,0.0,0.25,31.76,59.65,0.0,11.85,10.85,81.41,34,2017,,,,,,
RENSSELAER,0.0,1.25,9.3,35.98,48.64,,84.89,5.04,0.55,51.36,0.0,1.59,64.02,9.46,0.0,15.11,61.14,89.42,49,2017,,,,,,
RICHMOND,0.04,8.6,13.8,50.09,47.5,,75.1,24.73,1.89,52.5,0.0,0.0,49.84,71.43,0.0,17.87,48.98,82.88,35,2017,,,,,,
ROCKLAND,0.09,7.33,14.62,33.15,49.51,,88.21,25.11,5.95,50.26,0.0,0.43,66.7,66.02,0.0,11.47,49.02,88.79,50,2017,,,,,,
SAINT LAWRENCE,2.47,0.0,0.0,47.31,48.35,,71.13,0.0,0.0,50.89,0.0,0.0,51.46,0.0,0.0,13.64,37.34,86.79,51,2017,,,,,,
SARATOGA,0.0,1.95,1.51,21.31,48.01,,87.31,2.09,0.09,51.99,0.0,0.26,78.69,9.74,0.0,9.45,81.0,92.06,52,2017,,,,,,
SCHENECTADY,0.0,9.3,16.56,43.75,49.23,,85.93,7.54,0.87,50.77,0.0,0.66,56.25,41.09,0.0,12.25,58.87,80.55,53,2017,,,,,,
SCHOHARIE,0.0,0.0,0.0,45.72,49.05,,71.31,0.0,0.0,50.95,0.0,0.0,54.28,0.0,0.0,12.01,37.67,84.52,54,2017,,,,,,
SCHUYLER,0.0,0.0,0.0,42.86,48.12,,88.72,0.94,0.0,51.88,0.0,0.0,57.14,0.0,0.0,11.28,38.53,90.79,55,2017,,,,,,
SENECA,0.0,0.0,1.46,38.69,50.15,,77.46,0.54,0.0,49.85,0.0,0.0,61.31,0.0,0.0,13.08,72.85,85.77,56,2017,,,,,,
STEUBEN,0.0,1.01,1.76,44.19,49.62,,75.01,0.17,0.0,49.65,0.0,0.67,55.02,0.0,0.0,13.0,44.79,88.82,57,2017,,,,,,
SUFFOLK,0.06,3.27,8.64,32.68,48.71,,87.77,20.76,3.59,51.23,0.01,0.35,66.44,57.78,0.45,11.93,63.96,91.77,58,2017,,,,,,
SULLIVAN,0.0,0.0,8.26,48.03,49.04,,69.58,15.99,2.06,50.96,0.65,0.0,51.97,28.04,9.64,11.26,59.83,84.05,59,2017,,,,,,
TIOGA,0.0,0.0,0.0,43.28,47.32,,87.3,0.43,0.0,52.68,0.0,0.0,56.72,0.0,0.0,12.7,54.89,90.43,60,2017,,,,,,
TOMPKINS,0.0,5.68,4.06,32.56,48.42,,83.84,2.13,0.69,50.35,0.0,2.01,66.21,30.16,0.0,11.66,57.61,88.71,61,2017,,,,,,
ULSTER,0.0,0.65,7.6,41.72,49.78,,84.09,12.4,0.67,50.22,0.0,1.01,58.28,25.01,0.0,15.91,73.89,88.63,62,2017,,,,,,
WARREN,0.0,0.72,1.26,33.71,50.51,,78.43,1.43,0.0,49.49,0.0,0.0,66.29,0.0,0.0,11.93,61.35,89.03,63,2017,,,,,,
WASHINGTON,0.0,0.0,0.0,37.66,46.66,,66.32,0.38,0.0,53.34,0.0,0.0,61.37,0.0,0.0,12.9,23.89,82.75,64,2017,,,,,,
WAYNE,0.0,0.0,3.24,41.14,49.14,,82.85,3.04,0.0,50.86,0.0,1.61,58.86,0.0,0.0,10.55,78.49,89.65,65,2017,,,,,,
WESTCHESTER,0.0,4.75,13.15,33.76,48.82,,85.53,27.23,2.39,50.79,0.0,0.79,54.9,39.68,0.0,12.06,49.8,91.48,66,2017,,,,,,
WYOMING,0.0,0.0,0.0,37.41,49.26,,88.07,0.0,0.0,50.74,0.0,0.0,62.59,0.0,0.0,11.93,22.15,94.73,67,2017,,,,,,
YATES,0.0,0.0,0.0,47.41,47.06,,80.24,0.0,0.0,52.94,0.0,0.0,52.59,0.0,0.0,11.53,72.94,83.06,68,2017,,,,,,
ALBANY,0.0,8.1,18.74,32.82,47.04,0.79,84.16,6.67,1.77,48.82,0.0,0.91,67.18,39.69,0.0,11.67,59.12,87.16,1,2018,,,,,,
ALLEGANY,0.0,0.0,0.0,46.81,50.64,0.0,48.14,0.0,0.0,48.75,0.0,0.0,53.19,0.0,0.0,8.11,27.38,91.84,2,2018,,,,,,
BRONX,0.28,4.82,18.72,73.21,47.36,5.11,74.19,56.45,11.24,51.43,0.0,0.2,21.65,55.28,0.0,18.72,3.04,73.39,32,2018,,,,,,
BROOME,0.0,2.03,8.39,45.49,49.13,0.12,85.06,4.42,0.46,50.87,0.0,2.51,54.51,23.93,0.0,13.41,70.5,87.71,3,2018,,,,,,
CATTARAUGUS,4.32,0.0,1.34,48.17,49.83,0.0,77.68,0.16,0.0,50.17,0.0,0.69,51.83,0.0,0.0,11.38,51.57,89.22,4,2018,,,,,,
CAYUGA,0.0,0.0,4.91,37.86,50.12,0.0,65.87,1.86,0.0,49.88,0.0,0.54,62.14,0.0,0.0,7.55,64.68,86.35,5,2018,,,,,,
CHAUTAUQUA,0.64,0.17,0.64,47.31,49.82,0.64,72.74,10.18,1.94,50.18,0.09,2.32,52.69,31.89,2.4,9.54,42.45,87.61,6,2018,,,,,,
CHEMUNG,0.0,1.2,11.2,44.23,49.95,0.0,88.96,2.21,0.0,50.05,0.0,0.68,55.77,0.0,0.0,11.04,76.44,78.9,7,2018,,,,,,
CHENANGO,0.0,0.0,0.27,51.63,50.09,0.0,75.14,0.54,0.0,49.91,0.0,0.0,48.37,0.0,0.0,14.38,35.21,90.43,8,2018,,,,,,
CLINTON,0.15,0.0,1.48,42.53,48.4,0.0,79.92,0.0,0.0,51.6,0.0,0.18,57.47,0.0,0.0,17.94,60.97,87.93,9,2018,,,,,,
COLUMBIA,0.0,2.68,5.58,44.3,47.72,0.0,78.86,3.97,0.97,51.5,0.23,1.29,54.91,16.84,5.95,14.58,65.81,87.45,10,2018,,,,,,
CORTLAND,0.0,0.0,0.79,40.41,45.98,0.0,82.4,0.74,0.0,54.02,0.0,0.84,59.59,0.0,0.0,12.98,51.66,89.86,11,2018,,,,,,
DELAWARE,0.0,0.0,0.0,46.64,48.57,0.0,55.75,0.0,0.0,49.45,0.0,0.0,51.37,0.0,0.0,12.26,30.06,90.37,12,2018,,,,,,
DUTCHESS,0.0,2.73,11.2,30.39,49.43,0.0,87.85,12.77,0.84,50.57,0.0,0.81,69.61,26.52,0.0,12.15,67.8,88.89,13,2018,,,,,,
ERIE,0.23,3.7,17.59,40.97,49.87,0.75,85.73,6.04,2.93,50.0,0.0,0.63,57.97,17.17,0.0,12.99,62.65,85.83,14,2018,,,,,,
ESSEX,0.0,0.0,0.0,41.67,45.86,0.0,51.49,0.0,0.0,45.77,0.0,0.0,50.64,0.0,0.0,10.85,10.42,91.37,15,2018,,,,,,
FRANKLIN,11.42,0.0,0.0,51.17,47.8,0.0,81.34,0.0,0.0,51.53,0.0,0.0,48.83,0.0,0.0,17.99,34.08,87.32,16,2018,,,,,,
FULTON,0.0,0.21,2.44,45.99,48.1,0.0,82.98,0.87,0.0,51.9,0.0,0.83,54.01,0.0,0.0,15.91,74.63,81.4,17,2018,,,,,,
GENESEE,0.0,0.0,1.11,40.53,48.81,0.0,80.11,2.03,0.0,51.19,0.0,1.35,59.47,0.0,0.0,11.38,49.16,93.6,18,2018,,,,,,
GREENE,0.0,0.0,4.04,39.64,52.02,0.0,78.88,2.76,0.0,47.98,0.0,1.05,60.36,0.0,0.0,14.59,64.79,90.82,19,2018,,,,,,
HAMILTON,0.0,0.0,0.0,27.36,11.32,0.0,0.0,0.0,0.0,15.09,0.0,0.0,21.7,0.0,0.0,0.0,0.0,91.51,20,2018,,,,,,
HERKIMER,0.0,0.0,0.0,48.08,49.5,0.0,75.47,0.0,0.0,47.64,0.0,0.0,48.25,0.0,0.0,12.79,46.94,84.15,21,2018,,,,,,
JEFFERSON,0.0,0.32,4.67,47.79,49.03,0.0,77.84,5.0,0.0,50.97,0.0,2.31,52.21,0.0,0.0,15.16,64.79,87.84,22,2018,,,,,,
KINGS,0.06,15.26,38.47,73.58,46.78,4.55,80.83,23.35,6.45,51.57,0.0,0.55,25.01,49.63,0.0,15.64,12.75,79.2,33,2018,,,,,,
LEWIS,0.0,0.0,0.0,48.34,50.0,0.0,70.35,0.0,0.0,50.0,0.0,0.0,51.66,0.0,0.0,14.2,39.12,92.36,23,2018,,,,,,
LIVINGSTON,0.0,0.0,0.0,33.46,49.85,0.0,78.32,0.0,0.0,50.15,0.0,0.0,66.54,0.0,0.0,9.37,63.57,92.04,24,2018,,,,,,
MADISON,0.0,0.0,0.0,38.1,48.64,0.0,77.23,0.32,0.0,51.36,0.0,0.0,61.9,0.0,0.0,11.51,72.19,89.75,25,2018,,,,,,
MONROE,0.0,3.25,21.85,42.05,49.13,0.8,85.75,11.28,3.19,48.7,0.0,0.7,56.8,37.62,0.0,12.29,59.02,86.37,26,2018,,,,,,
MONTGOMERY,0.0,0.0,2.86,49.93,50.57,0.0,75.76,17.2,1.91,49.43,0.0,0.0,50.07,44.35,0.0,15.34,40.72,81.43,27,2018,,,,,,
NASSAU,0.0,11.01,11.63,29.4,48.62,1.17,88.16,20.33,3.88,51.3,0.0,0.24,70.54,42.23,0.0,11.04,52.75,92.27,28,2018,,,,,,
NEW YORK,0.02,13.13,22.01,66.28,53.44,4.14,75.33,42.88,6.8,45.64,0.0,0.53,30.46,33.29,0.0,14.67,9.69,79.69,31,2018,,,,,,
NIAGARA,1.96,1.1,11.51,38.32,48.97,0.0,85.47,2.08,0.11,51.03,0.0,1.67,61.68,6.08,0.0,13.15,77.39,86.15,40,2018,,,,,,
ONEIDA,0.0,5.52,8.05,46.87,49.22,2.09,82.94,4.69,2.27,50.78,0.0,0.63,53.13,24.14,0.0,12.36,60.77,88.38,41,2018,,,,,,
ONONDAGA,0.31,3.67,17.1,40.43,49.36,0.86,85.68,4.59,2.49,50.6,0.0,1.23,59.42,22.42,0.0,12.44,64.54,86.03,42,2018,,,,,,
ONTARIO,0.0,1.17,1.6,31.74,48.02,0.0,85.08,4.59,0.47,51.98,0.0,1.37,68.26,12.82,0.0,8.45,66.36,91.97,43,2018,,,,,,
ORANGE,0.0,1.44,13.21,39.37,49.39,0.94,84.86,25.79,1.53,50.54,0.0,0.25,60.03,39.6,0.0,12.69,56.24,89.99,44,2018,,,,,,
ORLEANS,0.0,0.0,0.89,46.93,49.13,0.0,81.26,3.62,0.0,50.87,0.0,1.42,53.07,0.0,0.0,13.39,74.65,90.92,45,2018,,,,,,
OSWEGO,0.08,0.0,0.34,47.99,48.72,0.0,87.56,1.81,0.29,51.28,0.19,0.26,52.01,13.97,9.27,12.44,75.56,85.58,46,2018,,,,,,
OTSEGO,0.0,1.17,2.06,40.54,49.84,0.0,64.38,2.11,0.0,50.16,0.0,0.0,59.46,0.0,0.0,12.44,38.81,90.33,47,2018,,,,,,
PUTNAM,0.0,1.53,2.2,20.48,49.01,0.2,86.3,17.19,1.05,50.99,0.0,0.77,79.52,16.06,0.0,13.7,75.61,93.97,48,2018,,,,,,
QUEENS,0.65,28.01,19.89,71.22,47.12,5.78,81.24,35.3,7.47,51.86,0.0,0.52,28.78,60.66,0.0,12.26,11.06,82.38,34,2018,,,,,,
RENSSELAER,0.0,1.71,9.83,37.72,48.0,0.0,85.29,5.71,0.44,52.0,0.0,2.18,62.28,15.39,0.0,14.71,63.34,89.77,49,2018,,,,,,
RICHMOND,0.0,9.52,13.58,53.35,47.83,1.89,75.1,25.08,1.98,52.17,0.0,0.16,46.58,76.22,0.0,17.91,48.41,83.94,35,2018,,,,,,
ROCKLAND,0.05,7.43,14.21,35.68,49.35,2.89,87.9,27.04,7.46,50.33,0.0,0.45,64.08,63.76,0.0,11.78,47.43,88.2,50,2018,,,,,,
SAINT LAWRENCE,3.36,0.0,0.0,48.5,50.07,0.0,71.89,0.0,0.0,49.56,0.0,0.0,51.13,0.0,0.0,13.89,41.84,87.49,51,2018,,,,,,
SARATOGA,0.0,2.44,1.51,21.67,48.63,0.0,88.08,2.35,0.16,51.37,0.0,0.17,78.33,14.82,0.0,10.08,84.34,92.44,52,2018,,,,,,
SCHENECTADY,0.0,12.38,15.66,44.7,49.82,0.65,84.96,7.32,1.13,50.18,0.0,0.71,55.3,40.79,0.0,12.79,58.23,80.14,53,2018,,,,,,
SCHOHARIE,0.0,0.0,0.0,46.49,50.85,0.0,74.28,1.33,0.0,49.15,0.0,0.0,53.51,0.0,0.0,11.9,33.85,87.14,54,2018,,,,,,
SCHUYLER,0.0,0.0,0.0,40.53,49.03,0.0,87.96,0.88,0.0,50.97,0.0,0.0,59.47,0.0,0.0,12.04,21.77,91.33,55,2018,,,,,,
SENECA,0.0,0.0,0.45,41.38,48.61,0.0,81.41,1.96,0.0,51.39,0.0,0.0,58.62,0.0,0.0,13.84,79.98,86.0,56,2018,,,,,,
STEUBEN,0.0,1.29,1.79,44.86,49.44,0.0,76.47,0.38,0.0,49.65,0.0,0.53,54.36,0.0,0.0,12.6,44.14,90.17,57,2018,,,,,,
SUFFOLK,0.07,3.43,8.49,35.24,48.82,0.8,87.23,22.81,4.5,51.15,0.0,0.42,63.92,63.64,0.0,12.38,61.81,91.76,58,2018,,,,,,
SULLIVAN,0.0,0.36,10.15,50.96,48.9,0.0,72.9,19.84,2.85,51.1,0.71,0.36,49.04,47.12,10.08,11.22,57.55,85.86,59,2018,,,,,,
TIOGA,0.0,0.0,0.0,44.31,50.6,0.0,86.89,0.22,0.0,49.4,0.0,0.0,55.69,0.0,0.0,13.11,51.47,90.12,60,2018,,,,,,
TOMPKINS,0.0,5.8,4.12,33.45,46.68,0.31,83.57,2.98,0.61,51.97,0.0,3.32,65.2,31.51,0.0,9.61,56.05,90.42,61,2018,,,,,,
ULSTER,0.0,0.71,7.78,43.71,48.97,0.16,83.76,13.33,1.52,51.03,0.0,1.41,56.29,34.06,0.0,16.24,72.53,88.52,62,2018,,,,,,
WARREN,0.0,0.49,1.4,37.11,48.13,0.0,80.85,1.4,0.0,51.87,0.0,0.21,61.84,0.0,0.0,11.86,57.94,88.52,63,2018,,,,,,
WASHINGTON,0.0,0.0,0.0,41.97,49.07,0.0,70.3,0.19,0.0,50.93,0.0,0.0,58.03,0.0,0.0,14.11,40.11,83.42,64,2018,,,,,,
WAYNE,0.0,0.0,2.79,43.25,50.36,0.0,81.24,4.22,0.0,49.64,0.0,0.87,56.75,0.0,0.0,10.81,73.17,88.48,65,2018,,,,,,
WESTCHESTER,0.0,4.89,12.72,35.96,49.13,1.44,85.23,28.53,2.78,50.5,0.0,0.84,52.48,41.88,0.0,12.22,48.9,91.08,66,2018,,,,,,
WYOMING,0.0,0.0,0.0,37.93,50.49,0.0,79.77,0.0,0.0,49.51,0.0,0.0,62.07,0.0,0.0,12.07,6.2,94.45,67,2018,,,,,,
YATES,0.0,0.0,0.0,52.54,45.76,0.0,86.57,1.83,0.0,54.24,0.0,0.0,47.46,0.0,0.0,13.43,73.66,80.83,68,2018,,,,,,
ALBANY,0.0,8.54,18.99,34.24,47.23,0.73,85.72,7.26,2.11,48.47,0.0,0.92,65.76,37.32,0.0,11.84,58.53,87.99,1,2019,1.55,0.0,51.25,0.0,0.0,0.0
ALLEGANY,0.0,0.0,0.0,46.19,49.97,0.0,51.92,0.0,0.0,48.01,0.0,0.0,53.81,0.0,0.0,8.25,25.44,92.52,2,2019,0.0,0.0,0.0,0.0,0.0,0.0
BRONX,0.39,4.82,18.94,73.7,47.35,5.81,73.66,56.7,11.63,51.23,0.0,0.09,20.82,55.91,0.0,19.2,3.01,76.16,32,2019,9.51,0.0,67.37,0.0,0.0,0.0
BROOME,0.0,2.08,8.52,46.34,48.7,0.24,84.71,4.59,0.59,51.3,0.0,3.22,53.66,21.94,0.0,13.31,68.21,89.04,3,2019,1.92,0.0,44.12,0.0,0.0,0.0
CATTARAUGUS,3.68,0.0,1.12,48.02,49.32,0.0,78.47,0.21,0.0,50.68,0.0,0.63,51.98,0.0,0.0,11.13,55.27,90.34,4,2019,0.18,0.0,6.41,0.0,0.0,0.0
CAYUGA,0.0,0.0,4.94,38.58,50.7,0.0,68.55,2.14,0.0,49.3,0.0,0.37,61.42,0.0,0.0,7.69,69.43,86.44,5,2019,1.12,0.0,27.07,0.0,0.0,0.0
CHAUTAUQUA,0.63,0.12,0.67,45.87,49.84,0.53,73.99,10.28,2.06,50.16,0.0,2.37,54.13,32.78,0.0,9.3,47.87,87.99,6,2019,0.53,0.0,19.37,0.0,0.0,0.0
CHEMUNG,0.0,1.61,11.5,44.74,49.49,0.0,88.74,2.12,0.0,50.51,0.0,1.22,55.26,0.0,0.0,11.26,78.65,79.3,7,2019,0.0,0.0,0.0,0.0,0.0,0.0
CHENANGO,0.0,0.0,0.92,49.82,49.88,0.0,76.68,0.37,0.0,50.12,0.0,0.0,50.18,0.0,0.0,14.75,40.33,89.69,8,2019,0.86,0.0,16.03,0.0,0.0,0.0
CLINTON,0.2,0.24,1.81,44.05,48.15,0.0,79.42,0.0,0.0,51.85,0.0,0.24,55.95,0.0,0.0,17.9,59.11,88.43,9,2019,0.99,0.0,22.71,0.0,0.0,0.0
COLUMBIA,0.0,2.5,5.99,44.88,48.38,0.0,80.21,3.81,1.87,51.31,0.31,0.81,54.81,27.09,6.3,14.11,66.6,88.3,10,2019,2.06,0.0,20.29,0.0,0.0,0.0
CORTLAND,0.0,0.0,0.99,42.71,47.31,0.0,82.79,0.5,0.0,52.69,0.0,1.06,57.29,0.0,0.0,11.97,57.37,90.19,11,2019,0.71,0.0,11.19,0.0,0.0,0.0
DELAWARE,0.0,0.0,0.0,43.68,48.46,0.0,53.4,0.57,0.0,48.87,0.0,0.0,52.03,0.0,0.0,12.48,29.25,89.91,12,2019,0.0,0.0,0.0,0.0,0.0,0.0
DUTCHESS,0.0,2.8,11.59,31.61,49.06,0.11,87.19,13.8,0.96,50.71,0.0,1.01,68.39,31.95,0.0,12.58,66.47,88.91,13,2019,1.49,0.16,63.87,6.54,0.0,0.0
ERIE,0.26,3.81,18.53,41.49,49.65,0.98,85.39,6.51,3.14,50.23,0.0,0.71,57.43,20.21,0.0,12.97,61.58,86.47,14,2019,0.71,0.0,19.14,0.0,0.0,0.0
ESSEX,0.0,0.0,0.0,39.43,44.69,0.0,50.86,0.0,0.0,47.2,0.0,0.0,52.34,0.0,0.0,10.74,12.69,92.57,15,2019,0.0,0.0,0.0,0.0,0.0,0.0
FRANKLIN,11.57,0.0,0.0,51.89,49.09,0.0,79.66,0.0,0.0,50.0,0.0,0.0,48.11,0.0,0.0,17.6,28.26,88.37,16,2019,1.28,0.3,32.64,11.75,0.0,0.0
FULTON,0.0,0.28,2.64,47.84,47.95,0.0,81.9,0.45,0.0,52.05,0.0,1.29,52.16,0.0,0.0,14.9,74.37,82.86,17,2019,0.28,0.0,2.14,0.0,0.0,0.0
GENESEE,0.0,0.0,1.48,40.0,49.89,0.0,80.55,2.08,0.0,50.11,0.0,0.55,60.0,0.0,0.0,10.93,50.11,94.54,18,2019,0.0,0.0,0.0,0.0,0.0,0.0
GREENE,0.0,0.0,4.18,38.91,52.74,0.0,78.65,2.89,0.0,47.26,0.0,1.37,61.09,0.0,0.0,14.13,66.95,90.01,19,2019,0.38,0.0,6.99,0.0,0.0,0.0
HAMILTON,0.0,0.0,0.0,33.33,20.99,0.0,0.0,0.0,0.0,22.22,0.0,0.0,24.69,0.0,0.0,0.0,0.0,93.83,20,2019,0.0,0.0,0.0,0.0,0.0,0.0
HERKIMER,0.0,0.0,0.34,48.56,49.23,0.0,74.35,0.0,0.0,50.77,0.0,0.0,50.67,0.0,0.0,12.75,39.88,89.48,21,2019,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON,0.0,0.28,4.79,49.22,48.81,0.0,77.51,5.24,0.0,51.19,0.0,2.27,50.78,0.0,0.0,15.73,65.12,88.02,22,2019,0.19,0.0,5.04,0.0,45.48,13.16
KINGS,0.11,15.56,38.11,74.52,46.73,4.91,81.37,24.03,6.87,51.89,0.0,0.49,24.24,49.72,0.0,15.78,12.91,81.52,33,2019,6.43,0.0,72.84,0.0,0.0,0.0
LEWIS,0.0,0.0,0.0,49.78,50.55,0.0,72.2,0.0,0.0,49.45,0.0,0.0,50.22,0.0,0.0,14.4,52.86,92.58,23,2019,0.0,0.0,0.0,0.0,0.0,0.0
LIVINGSTON,0.0,0.0,0.0,35.84,49.2,0.0,81.55,0.0,0.0,50.8,0.0,0.0,64.16,0.0,0.0,10.47,43.55,93.27,24,2019,0.28,0.0,7.09,0.0,0.0,0.0
MADISON,0.0,0.0,0.0,37.99,49.29,0.0,73.32,0.53,0.0,50.71,0.0,0.0,62.01,0.0,0.0,10.82,71.82,89.66,25,2019,0.0,0.0,0.0,0.0,0.0,0.0
MONROE,0.0,3.2,23.01,43.81,49.07,0.93,85.92,11.74,3.27,48.45,0.0,0.7,53.81,34.76,0.0,12.19,57.53,87.21,26,2019,1.41,0.0,46.09,0.0,0.0,0.0
MONTGOMERY,0.0,0.0,3.23,53.9,49.51,0.0,78.44,19.67,2.5,50.49,0.0,0.0,46.1,46.71,0.0,15.59,38.12,82.92,27,2019,1.1,0.0,36.78,0.0,0.0,0.0
NASSAU,0.0,11.23,11.53,29.85,48.42,1.34,88.38,21.54,4.33,51.52,0.0,0.24,70.11,44.34,0.0,10.97,51.43,93.33,28,2019,1.19,0.0,26.26,0.0,0.0,0.0
NEW YORK,0.03,13.03,21.54,66.63,53.46,4.42,74.56,42.8,7.09,45.7,0.0,0.64,30.01,34.34,0.0,14.97,9.82,81.79,31,2019,6.69,0.0,66.24,0.0,0.0,0.0
NIAGARA,2.01,1.14,11.87,40.71,49.16,0.0,84.93,2.67,0.16,50.84,0.0,1.99,59.29,11.87,0.0,13.32,77.39,86.55,40,2019,1.06,0.0,44.39,0.0,0.0,0.0
ONEIDA,0.0,5.8,8.04,46.99,49.81,2.26,81.59,6.55,2.49,50.19,0.0,0.52,53.01,24.56,0.0,12.76,53.47,88.62,41,2019,1.09,0.0,40.74,0.0,0.0,0.0
ONONDAGA,0.39,3.93,17.7,42.01,49.59,1.09,85.85,5.23,3.09,50.38,0.0,1.22,57.8,29.1,0.0,12.81,62.84,86.23,42,2019,2.88,0.0,58.48,0.0,0.0,0.0
ONTARIO,0.0,1.27,2.29,33.57,47.86,0.13,84.34,5.17,0.79,52.14,0.0,0.79,66.43,12.5,0.0,8.68,69.41,91.86,43,2019,0.66,0.0,15.3,0.0,0.0,0.0
ORANGE,0.0,1.73,13.38,39.95,48.99,0.87,85.01,26.36,1.94,50.9,0.0,0.33,59.69,43.88,0.0,13.08,55.3,89.88,44,2019,1.97,0.0,51.39,0.0,3.72,0.62
ORLEANS,0.0,0.0,0.0,49.6,48.79,0.0,81.93,5.05,0.0,51.21,0.0,1.98,50.4,0.0,0.0,14.34,73.08,90.49,45,2019,0.0,0.0,0.0,0.0,0.0,0.0
OSWEGO,0.0,0.0,0.49,47.51,47.88,0.0,88.15,1.8,0.24,52.12,0.11,0.34,52.49,12.37,6.15,11.85,76.85,86.01,46,2019,4.63,0.0,63.33,0.0,0.0,0.0
OTSEGO,0.0,0.7,1.85,40.31,48.92,0.0,66.01,1.85,0.0,51.08,0.0,0.0,59.69,0.0,0.0,13.07,37.63,88.46,47,2019,0.0,0.0,0.0,0.0,0.0,0.0
PUTNAM,0.0,1.67,1.65,22.41,49.24,0.54,86.72,18.63,1.62,50.76,0.0,0.67,77.59,40.47,0.0,13.28,74.41,94.49,48,2019,0.0,0.0,0.0,0.0,0.0,0.0
QUEENS,0.66,27.71,19.7,71.59,46.93,6.04,80.49,35.36,7.68,51.97,0.0,0.57,28.24,59.36,0.0,12.54,11.0,84.36,34,2019,3.89,0.0,69.84,0.0,0.0,0.0
RENSSELAER,0.0,1.7,10.47,39.36,48.99,0.0,84.81,5.43,0.6,51.01,0.0,2.17,60.64,20.28,0.0,15.19,65.77,90.73,49,2019,1.42,0.0,41.16,0.0,0.0,0.0
