COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
NIAGARA,2.11,1.28,11.14,32.78,49.06,0.17,87.84,2.65,0.34,50.94,0.12,1.34,67.22,99.66,99.88,12.16,81.48,86.4,40,2015,,,,,,
ONEIDA,0.29,5.71,8.25,39.55,49.78,0.91,86.95,5.18,3.62,50.22,0.03,0.81,60.45,96.38,99.97,13.05,79.76,86.1,41,2015,,,,,,
ONONDAGA,1.18,4.3,16.8,34.32,49.41,0.69,87.37,4.94,3.62,50.59,0.05,1.47,65.68,96.38,99.95,12.63,71.31,83.25,42,2015,,,,,,
ONTARIO,0.3,1.14,3.57,27.42,49.46,0.15,90.28,4.32,0.6,50.54,0.13,1.35,72.58,99.4,99.87,9.72,89.33,91.35,43,2015,,,,,,
ORANGE,0.18,3.04,13.95,34.42,49.38,0.55,88.55,22.12,1.5,50.62,0.08,0.53,65.58,98.5,99.92,11.45,60.19,88.76,44,2015,,,,,,
ORLEANS,0.56,0.81,3.87,39.97,47.35,0.2,87.78,5.55,0.56,52.65,1.02,2.14,60.03,99.44,98.98,12.22,87.07,89.61,45,2015,,,,,,
OSWEGO,0.28,0.76,1.27,44.13,49.88,0.03,86.91,2.32,0.29,50.12,0.17,0.57,55.87,99.71,99.83,13.09,94.8,81.47,46,2015,,,,,,
OTSEGO,0.0,1.63,2.93,39.69,49.13,0.04,85.24,2.81,0.0,50.87,0.12,0.24,60.31,100.0,99.88,14.76,92.4,87.27,47,2015,,,,,,
PUTNAM,0.13,2.55,2.25,14.04,48.6,0.32,86.94,14.31,0.85,51.4,0.0,0.87,85.96,99.15,100.0,13.06,79.88,93.89,48,2015,,,,,,
QUEENS,0.8,28.92,22.25,66.42,48.5,3.59,89.11,35.79,10.85,51.5,0.0,0.18,33.58,89.15,100.0,10.89,12.05,77.28,34,2015,,,,,,
RENSSELAER,0.12,1.71,10.45,32.12,49.95,0.34,86.02,4.87,0.55,50.05,0.03,1.68,67.88,99.45,99.97,13.98,81.17,89.08,49,2015,,,,,,
RICHMOND,0.44,10.06,15.25,47.98,48.38,1.28,83.86,22.96,2.29,51.62,0.0,0.22,52.02,97.71,100.0,16.14,51.08,81.03,35,2015,,,,,,
ROCKLAND,0.24,8.79,17.45,27.94,49.58,2.46,88.64,21.47,4.96,50.42,0.0,0.62,72.06,95.04,100.0,11.36,51.43,88.85,50,2015,,,,,,
ST. LAWRENCE,3.76,1.1,1.49,44.21,48.93,0.04,85.08,0.86,0.02,51.07,0.37,0.22,55.79,99.98,99.63,14.92,92.57,85.26,51,2015,,,,,,
SARATOGA,0.12,2.15,2.02,18.29,48.94,0.15,90.61,1.92,0.32,51.06,0.01,0.7,81.71,99.68,99.99,9.39,93.1,90.31,52,2015,,,,,,
SCHENECTADY,0.13,10.09,16.36,39.07,49.64,0.39,88.17,7.77,0.99,50.36,0.0,0.53,60.93,99.01,100.0,11.83,65.13,79.71,53,2015,,,,,,
SCHOHARIE,0.0,0.44,1.46,42.22,47.56,0.0,87.11,2.22,0.0,52.44,0.0,0.63,57.78,100.0,100.0,12.89,95.24,81.84,54,2015,,,,,,
SCHUYLER,0.48,0.48,1.45,37.48,49.92,0.0,90.47,2.1,0.32,50.08,0.0,0.97,62.52,99.68,100.0,9.53,94.51,87.72,55,2015,,,,,,
SENECA,0.15,1.14,3.5,32.83,52.74,0.15,85.41,3.12,0.0,47.26,0.3,0.38,67.17,100.0,99.7,14.59,91.72,87.01,56,2015,,,,,,
STEUBEN,0.3,1.41,2.01,39.85,49.19,0.05,85.55,1.5,0.11,50.81,0.05,1.12,60.15,99.89,99.95,14.45,93.67,86.26,57,2015,,,,,,
SUFFOLK,0.26,4.14,9.1,26.9,48.88,1.03,88.46,18.68,2.8,51.12,0.04,0.62,73.1,97.2,99.96,11.54,67.19,91.82,58,2015,,,,,,
SULLIVAN,0.25,1.58,12.42,42.6,48.68,0.67,87.06,17.59,1.27,51.32,0.56,0.63,57.4,98.73,99.44,12.94,67.53,82.62,59,2015,,,,,,
TIOGA,0.04,0.64,1.33,40.46,49.62,0.0,88.58,1.24,0.04,50.38,0.04,0.3,59.54,99.96,99.96,11.42,96.45,89.05,60,2015,,,,,,
TOMPKINS,0.26,6.82,6.82,30.3,49.65,0.06,86.6,3.5,1.1,50.35,0.06,2.31,69.7,98.9,99.94,13.4,80.3,88.56,61,2015,,,,,,
ULSTER,0.38,2.0,8.54,36.23,48.67,0.16,85.19,10.45,0.67,51.33,0.05,1.18,63.77,99.33,99.95,14.81,77.44,86.58,62,2015,,,,,,
WARREN,0.25,1.85,2.2,28.97,49.14,0.1,87.09,1.69,0.19,50.86,0.0,0.41,71.03,99.81,100.0,12.91,93.59,86.65,63,2015,,,,,,
WASHINGTON,0.25,0.51,1.01,37.56,49.53,0.0,86.91,1.08,0.0,50.47,0.25,0.47,62.44,100.0,99.75,13.09,96.67,83.66,64,2015,,,,,,
WAYNE,0.3,0.98,4.55,36.25,48.59,0.17,88.99,4.7,0.41,51.41,0.26,1.78,63.75,99.59,99.74,11.01,87.68,89.93,65,2015,,,,,,
WESTCHESTER,0.14,5.65,15.15,32.53,49.71,1.37,87.31,26.6,3.18,50.29,0.0,0.99,67.47,96.82,100.0,12.69,51.46,89.45,66,2015,,,,,,
WYOMING,0.15,0.74,0.52,32.15,49.15,0.15,87.44,1.18,0.0,50.85,0.0,1.18,67.85,100.0,100.0,12.56,96.23,91.06,67,2015,,,,,,
YATES,0.12,0.12,0.6,43.77,50.06,0.12,87.18,1.93,0.85,49.94,0.85,0.85,56.23,99.15,99.15,12.82,96.37,85.73,68,2015,,,,,,
ALBANY,0.0,6.08,18.39,30.12,47.2,,82.78,5.58,1.63,48.12,0.0,0.75,69.81,40.52,0.0,11.99,62.4,84.85,1,2016,,,,,,
ALLEGANY,0.0,0.0,0.0,42.95,48.51,,55.69,0.0,0.0,51.49,0.0,0.0,57.05,0.0,0.0,8.39,18.64,90.34,2,2016,,,,,,
BRONX,0.12,4.96,19.32,71.53,47.47,,74.91,55.73,11.41,51.14,0.0,0.27,24.94,50.71,0.0,17.99,2.71,69.83,32,2016,,,,,,
BROOME,0.0,2.18,7.64,41.19,49.83,,85.46,3.71,0.4,50.17,0.0,1.66,58.81,21.34,0.0,14.19,74.04,87.61,3,2016,,,,,,
