"DISTRICTID","DISTRICT_NAME","GRADE_RANGE","GEOID","DSB","NEEDS_INDEX","BOCES_CD","YEAR"
"141501","GRAND ISLAND CSD","PK-12, UE, US","3607020","141501",5,"1491",2016
"141601","HAMBURG CSD","PK-12, UE, US","3613350","141601",5,"1491",2016
"141604","FRONTIER CSD","PK-12, UE, US","3611670","141604",5,"1491",2016
"141701","HOLLAND CSD","PK-12, US","3614550","141701",5,"1492",2016
"141800","LACKAWANNA CITY SD","K-12, UE, US","3616440","141800",3,"1491",2016
"141901","LANCASTER CSD","PK-12, UE, US","3616680","141901",5,"1491",2016
"142101","AKRON CSD","PK-12, UE, US","3602430","142101",5,"1491",2016
"142201","NORTH COLLINS CSD","PK-12","3620970","142201",5,"1492",2016
"142301","ORCHARD PARK CSD","PK-12","3621900","142301",6,"1492",2016
"142500","TONAWANDA CITY SD","PK-12, UE","3628740","142500",5,"1491",2016
"142601","KENMORE-TONAWANDA UFSD","PK-12, UE, US","3616230","142601",5,"1491",2016
"142801","WEST SENECA CSD","PK-12, UE, US","3630780","142801",5,"1491",2016
"150203","CROWN POINT CSD","K-12","3608610","150203",4,"0990",2016
"150301","ELIZABETHTOWN-LEWIS CSD","K-12","3610440","150301",4,"0990",2016
"150601","KEENE CSD","PK-12","3616140","150601",6,"0990",2016
"150801","MINERVA CSD","PK-12, UE, US","3619530","150801",5,"6490",2016
"150901","MORIAH CSD","K-12, UE, US","3619830","150901",4,"0990",2016
"151001","NEWCOMB CSD","PK-12","3620730","151001",6,"6490",2016
"151102","LAKE PLACID CSD","K-12, UE, US","3616500","151102",5,"1690",2016
"151401","SCHROON LAKE CSD","PK-12","3626130","151401",5,"0990",2016
"151501","TICONDEROGA CSD","PK-12, UE, US","3628680","151501",4,"0990",2016
"151601","WESTPORT CSD","K-12","3631080","151601",5,"0990",2016
"151701","WILLSBORO CSD","K-12, UE","3631500","151701",5,"0990",2016
"160101","TUPPER LAKE CSD","PK-12, UE, US","3629160","160101",5,"1690",2016
"160801","CHATEAUGAY CSD","K-12, US","3607080","160801",4,"1690",2016
"161201","SALMON RIVER CSD","PK-12, UE, US","3625500","161201",4,"1690",2016
"161401","SARANAC LAKE CSD","PK-12, UE, US","3625740","161401",5,"1690",2016
"161501","MALONE CSD","K-12, US","3618180","161501",4,"1690",2016
"161601","BRUSHTON-MOIRA CSD","K-12, UE, US","3605820","161601",4,"1690",2016
"161801","ST REGIS FALLS CSD","K-12","3627990","161801",4,"1690",2016
"170301","WHEELERVILLE UFSD","PK-8","3631200","170301",5,"2090",2016
"170500","GLOVERSVILLE CITY SD","K-12, US","3612270","170500",4,"2090",2016
"170600","JOHNSTOWN CITY SD","PK-12, UE, US","3615980","170600",5,"2090",2016
"170801","MAYFIELD CSD","PK-12, UE, US","3618750","170801",5,"2090",2016
"170901","NORTHVILLE CSD","PK-12","3621300","170901",5,"2090",2016
"171102","BROADALBIN-PERTH CSD","PK-12, UE, US","3600005","171102",5,"2090",2016
"180202","ALEXANDER CSD","PK-12, UE, US","3602580","180202",5,"2490",2016
"180300","BATAVIA CITY SD","PK-12, UE, US","3603990","180300",4,"2490",2016
"180701","BYRON-BERGEN CSD","PK-12, US","3606090","180701",5,"2490",2016
"180901","ELBA CSD","PK-12, US","3610380","180901",5,"2490",2016
"181001","LE ROY CSD","PK-12, UE","3616950","181001",5,"2490",2016
"181101","OAKFIELD-ALABAMA CSD","PK-12, US","3621510","181101",5,"2490",2016
"181201","PAVILION CSD","PK-12","3622500","181201",5,"2490",2016
"181302","PEMBROKE CSD","PK-12, UE, US","3608340","181302",5,"2490",2016
"190301","CAIRO-DURHAM CSD","PK-12, UE, US","3606160","190301",5,"4990",2016
"190401","CATSKILL CSD","PK-12, UE, US","3606720","190401",5,"4990",2016
"190501","COXSACKIE-ATHENS CSD","K-12, UE, US","3608490","190501",5,"4990",2016
"190701","GREENVILLE CSD","PK-12, UE, US","3612870","190701",5,"4990",2016
"190901","HUNTER-TANNERSVILLE CSD","K-12, UE, US","3615060","190901",5,"1990",2016
"191401","WINDHAM-ASHLAND-JEWETT CSD","K-12, UE, US","3631590","191401",5,"1990",2016
"200401","INDIAN LAKE CSD","K-12","3615270","200401",5,"6490",2016
"200501","INLET COMN SD","K-6","3615330","200501",5,"2290",2016
"200601","LAKE PLEASANT CSD","PK-9, US","3616530","200601",5,"2090",2016
"200701","LONG LAKE CSD","PK-12","3617760","200701",6,"1690",2016
"200901","WELLS CSD","PK-12, US","3630450","200901",5,"2090",2016
"210302","WEST CANADA VALLEY CSD","PK-12, US","3630600","210302",5,"2190",2016
"210402","FRANKFORT-SCHUYLER CSD","PK-12, UE, US","3611400","210402",5,"2190",2016
"210601","HERKIMER CSD","PK-12, UE","3614220","210601",4,"2190",2016
"210800","LITTLE FALLS CITY SD","PK-12, UE, US","3617460","210800",4,"2190",2016
"211003","DOLGEVILLE CSD","K-12","3600001","211003",4,"2190",2016
"211103","POLAND CSD","PK-12","3623370","211103",4,"2190",2016
"211701","VAN HORNESVILLE-OWEN D. YOUNG CSD","K-12","3622200","211701",4,"2190",2016
"211901","TOWN OF WEBB UFSD","K-12, UE","3628800","211901",6,"2290",2016
"212001","MOUNT MARKHAM CSD","PK-12","3630930","212001",4,"2190",2016
"212101","CENTRAL VALLEY CSD AT ILION-MOHAWK","K-12, UE, US","","",4,"2190",2016
"220101","SOUTH JEFFERSON CSD","PK-12, UE, US","3602340","220101",5,"2290",2016
"220202","ALEXANDRIA CSD","PK-12","3602670","220202",5,"2290",2016
"220301","INDIAN RIVER CSD","PK-12, UE, US","3615300","220301",4,"2290",2016
"220401","GENERAL BROWN CSD","PK-12, US","3611910","220401",5,"2290",2016
"220701","THOUSAND ISLANDS CSD","K-12","3607650","220701",5,"2290",2016
"220909","BELLEVILLE HENDERSON CSD","PK-12, US","3604370","220909",4,"2290",2016
"221001","SACKETS HARBOR CSD","K-12","3614880","221001",5,"2290",2016
"221301","LYME CSD","K-12, US","3617880","221301",4,"2290",2016
"221401","LA FARGEVILLE CSD","PK-12, US","3616380","221401",4,"2290",2016
"222000","WATERTOWN CITY SD","PK-12, UE, US","3630120","222000",3,"2290",2016
"222201","CARTHAGE CSD","PK-12, UE, US","3606630","222201",4,"2290",2016
"230201","COPENHAGEN CSD","PK-12, US","3608280","230201",4,"2290",2016
"230301","HARRISVILLE CSD","PK-12, UE, US","3613770","230301",5,"5190",2016
"230901","LOWVILLE ACAD & CSD","PK-12, UE, US","3617820","230901",4,"2290",2016
"231101","SOUTH LEWIS CSD","PK-12, UE, US","3627360","231101",4,"2290",2016
"231301","BEAVER RIVER CSD","PK-12, US","3604200","231301",4,"2290",2016
"240101","AVON CSD","K-12, UE, US","3603660","240101",5,"2490",2016
"240201","CALEDONIA-MUMFORD CSD","PK-12, US","3606180","240201",5,"2490",2016
"240401","GENESEO CSD","K-12, UE","3611940","240401",5,"2490",2016
"240801","LIVONIA CSD","PK-12, UE, US","3617640","240801",5,"2490",2016
"240901","MT MORRIS CSD","K-12","3620010","240901",4,"2490",2016
"241001","DANSVILLE CSD","K-12, UE, US","3608790","241001",4,"2490",2016
"241101","DALTON-NUNDA CSD (KESHEQUA)","K-12, UE","3621450","241101",5,"2490",2016
"241701","YORK CSD","PK-12, UE, US","3631950","241701",5,"2490",2016
"250109","BROOKFIELD CSD","PK-12","3605670","250109",4,"4190",2016
"250201","CAZENOVIA CSD","K-12, UE, US","3606780","250201",5,"4290",2016
"250301","DE RUYTER CSD","K-12, US","3608850","250301",4,"4290",2016
