COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE
OTSEGO,0.0,0.79,2.12,38.82,0.0,49.54,70.89,1.5,50.46,0.0,0.0,61.18,0.0,0.0,13.41,41.82,90.21,47
PUTNAM,0.0,1.71,1.5,17.99,0.31,49.96,86.17,15.72,50.04,0.0,0.22,82.01,10.19,0.0,13.83,77.98,94.53,48
QUEENS,0.36,28.0,20.0,68.24,7.71,47.32,79.96,35.56,51.71,0.0,0.25,31.76,59.65,0.0,11.85,10.85,81.41,34
RENSSELAER,0.0,1.25,9.3,35.98,0.55,48.64,84.89,5.04,51.36,0.0,1.59,64.02,9.46,0.0,15.11,61.14,89.42,49
RICHMOND,0.04,8.6,13.8,50.09,1.89,47.5,75.1,24.73,52.5,0.0,0.0,49.84,71.43,0.0,17.87,48.98,82.88,35
ROCKLAND,0.09,7.33,14.62,33.15,5.95,49.51,88.21,25.11,50.26,0.0,0.43,66.7,66.02,0.0,11.47,49.02,88.79,50
SAINT LAWRENCE,2.47,0.0,0.0,47.31,0.0,48.35,71.13,0.0,50.89,0.0,0.0,51.46,0.0,0.0,13.64,37.34,86.79,51
SARATOGA,0.0,1.95,1.51,21.31,0.09,48.01,87.31,2.09,51.99,0.0,0.26,78.69,9.74,0.0,9.45,81.0,92.06,52
SCHENECTADY,0.0,9.3,16.56,43.75,0.87,49.23,85.93,7.54,50.77,0.0,0.66,56.25,41.09,0.0,12.25,58.87,80.55,53
SCHOHARIE,0.0,0.0,0.0,45.72,0.0,49.05,71.31,0.0,50.95,0.0,0.0,54.28,0.0,0.0,12.01,37.67,84.52,54
SCHUYLER,0.0,0.0,0.0,42.86,0.0,48.12,88.72,0.94,51.88,0.0,0.0,57.14,0.0,0.0,11.28,38.53,90.79,55
SENECA,0.0,0.0,1.46,38.69,0.0,50.15,77.46,0.54,49.85,0.0,0.0,61.31,0.0,0.0,13.08,72.85,85.77,56
STEUBEN,0.0,1.01,1.76,44.19,0.0,49.62,75.01,0.17,49.65,0.0,0.67,55.02,0.0,0.0,13.0,44.79,88.82,57
SUFFOLK,0.06,3.27,8.64,32.68,3.59,48.71,87.77,20.76,51.23,0.01,0.35,66.44,57.78,0.45,11.93,63.96,91.77,58
SULLIVAN,0.0,0.0,8.26,48.03,2.06,49.04,69.58,15.99,50.96,0.65,0.0,51.97,28.04,9.64,11.26,59.83,84.05,59
TIOGA,0.0,0.0,0.0,43.28,0.0,47.32,87.3,0.43,52.68,0.0,0.0,56.72,0.0,0.0,12.7,54.89,90.43,60
TOMPKINS,0.0,5.68,4.06,32.56,0.69,48.42,83.84,2.13,50.35,0.0,2.01,66.21,30.16,0.0,11.66,57.61,88.71,61
ULSTER,0.0,0.65,7.6,41.72,0.67,49.78,84.09,12.4,50.22,0.0,1.01,58.28,25.01,0.0,15.91,73.89,88.63,62
WARREN,0.0,0.72,1.26,33.71,0.0,50.51,78.43,1.43,49.49,0.0,0.0,66.29,0.0,0.0,11.93,61.35,89.03,63
WASHINGTON,0.0,0.0,0.0,37.66,0.0,46.66,66.32,0.38,53.34,0.0,0.0,61.37,0.0,0.0,12.9,23.89,82.75,64
WAYNE,0.0,0.0,3.24,41.14,0.0,49.14,82.85,3.04,50.86,0.0,1.61,58.86,0.0,0.0,10.55,78.49,89.65,65
WESTCHESTER,0.0,4.75,13.15,33.76,2.39,48.82,85.53,27.23,50.79,0.0,0.79,54.9,39.68,0.0,12.06,49.8,91.48,66
WYOMING,0.0,0.0,0.0,37.41,0.0,49.26,88.07,0.0,50.74,0.0,0.0,62.59,0.0,0.0,11.93,22.15,94.73,67
YATES,0.0,0.0,0.0,47.41,0.0,47.06,80.24,0.0,52.94,0.0,0.0,52.59,0.0,0.0,11.53,72.94,83.06,68
