county_name,report_school_year,grad_pct,dropout_pct
ALBANY,2014-15,0.8333333333333334,0.09000000000000001
ALBANY,2015-16,0.8433333333333333,0.09333333333333334
ALBANY,2016-17,0.8533333333333334,0.08333333333333333
ALBANY,2017-18,0.8633333333333333,0.08333333333333333
ALBANY,2018-19,0.87,0.08
ALLEGANY,2014-15,0.86,0.060000000000000005
ALLEGANY,2015-16,0.8666666666666667,0.05333333333333334
ALLEGANY,2016-17,0.8766666666666666,0.04
ALLEGANY,2017-18,0.8866666666666667,0.04666666666666667
ALLEGANY,2018-19,0.8866666666666667,0.04666666666666667
BRONX,2014-15,0.6433333333333334,0.17666666666666667
BRONX,2015-16,0.6666666666666666,0.17
BRONX,2016-17,0.6833333333333332,0.15666666666666665
BRONX,2017-18,0.7000000000000001,0.15333333333333332
BRONX,2018-19,0.7166666666666667,0.16
BROOME,2014-15,0.8266666666666667,0.09000000000000001
BROOME,2015-16,0.8333333333333334,0.09333333333333334
BROOME,2016-17,0.8366666666666666,0.09333333333333334
BROOME,2017-18,0.84,0.08666666666666667
BROOME,2018-19,0.8466666666666667,0.09000000000000001
CATTARAUGUS,2014-15,0.8266666666666667,0.10000000000000002
CATTARAUGUS,2015-16,0.85,0.09333333333333334
CATTARAUGUS,2016-17,0.8533333333333334,0.08666666666666667
CATTARAUGUS,2017-18,0.8633333333333333,0.08
CATTARAUGUS,2018-19,0.8766666666666666,0.07
CAYUGA,2014-15,0.8166666666666668,0.09666666666666668
CAYUGA,2015-16,0.8233333333333333,0.09666666666666668
CAYUGA,2016-17,0.8266666666666667,0.10000000000000002
CAYUGA,2017-18,0.8333333333333334,0.10000000000000002
CAYUGA,2018-19,0.8266666666666667,0.10000000000000002
CHAUTAUQUA,2014-15,0.8366666666666666,0.09999999999999999
CHAUTAUQUA,2015-16,0.85,0.09000000000000001
CHAUTAUQUA,2016-17,0.8533333333333334,0.08666666666666667
CHAUTAUQUA,2017-18,0.85,0.08333333333333333
CHAUTAUQUA,2018-19,0.8466666666666667,0.09000000000000001
CHEMUNG,2014-15,0.7466666666666667,0.16
CHEMUNG,2015-16,0.75,0.16333333333333333
CHEMUNG,2016-17,0.7566666666666667,0.16666666666666666
CHEMUNG,2017-18,0.7733333333333334,0.16333333333333333
CHEMUNG,2018-19,0.7766666666666667,0.15
CHENANGO,2014-15,0.8466666666666667,0.08666666666666667
CHENANGO,2015-16,0.85,0.08333333333333333
CHENANGO,2016-17,0.86,0.08666666666666667
CHENANGO,2017-18,0.86,0.08333333333333333
CHENANGO,2018-19,0.8533333333333334,0.08
CLINTON,2014-15,0.85,0.09000000000000001
CLINTON,2015-16,0.8533333333333334,0.09000000000000001
CLINTON,2016-17,0.8633333333333333,0.08666666666666667
CLINTON,2017-18,0.87,0.07333333333333333
CLINTON,2018-19,0.8733333333333334,0.07666666666666667
COLUMBIA,2014-15,0.8366666666666666,0.09333333333333334
COLUMBIA,2015-16,0.8466666666666667,0.09333333333333334
COLUMBIA,2016-17,0.84,0.09000000000000001
COLUMBIA,2017-18,0.84,0.08666666666666667
COLUMBIA,2018-19,0.8566666666666666,0.08333333333333333
CORTLAND,2014-15,0.82,0.09000000000000001
CORTLAND,2015-16,0.84,0.08666666666666667
