,num_asian,num_black,num_hisp,num_multi
172,23.0,77.0,81.0,8.0
173,23.0,77.0,81.0,8.0
174,23.0,77.0,81.0,8.0
175,23.0,77.0,81.0,8.0
176,23.0,77.0,81.0,8.0
177,23.0,77.0,81.0,8.0
178,23.0,77.0,81.0,8.0
179,23.0,77.0,81.0,8.0
180,23.0,77.0,81.0,8.0
181,23.0,77.0,81.0,8.0
182,23.0,77.0,81.0,8.0
183,23.0,77.0,81.0,8.0
184,23.0,77.0,81.0,8.0
185,23.0,77.0,81.0,8.0
186,18.0,79.0,82.0,6.0
187,18.0,79.0,82.0,6.0
188,18.0,79.0,82.0,6.0
189,18.0,79.0,82.0,6.0
190,18.0,79.0,82.0,6.0
191,18.0,79.0,82.0,6.0
192,18.0,79.0,82.0,6.0
193,18.0,79.0,82.0,6.0
194,17.0,82.0,107.0,0.0
195,17.0,82.0,107.0,0.0
196,17.0,82.0,107.0,0.0
197,17.0,82.0,107.0,0.0
198,17.0,82.0,107.0,0.0
199,17.0,82.0,107.0,0.0
200,14.0,74.0,107.0,46.0
201,14.0,74.0,107.0,46.0
202,14.0,74.0,107.0,46.0
203,14.0,74.0,107.0,46.0
204,14.0,74.0,107.0,46.0
205,14.0,74.0,107.0,46.0
206,14.0,74.0,107.0,46.0
207,14.0,74.0,107.0,46.0
208,14.0,74.0,107.0,46.0
209,14.0,74.0,107.0,46.0
210,16.0,81.0,110.0,61.0
211,16.0,81.0,110.0,61.0
212,16.0,81.0,110.0,61.0
213,16.0,81.0,110.0,61.0
214,16.0,81.0,110.0,61.0
215,16.0,81.0,110.0,61.0
216,20.0,73.0,119.0,67.0
217,20.0,73.0,119.0,67.0
218,20.0,73.0,119.0,67.0
219,20.0,73.0,119.0,67.0
220,20.0,73.0,119.0,67.0
221,20.0,73.0,119.0,67.0
222,20.0,74.0,114.0,77.0
223,20.0,74.0,114.0,77.0
224,20.0,74.0,114.0,77.0
225,20.0,74.0,114.0,77.0
226,20.0,74.0,114.0,77.0
227,20.0,74.0,114.0,77.0
228,18.0,74.0,117.0,84.0
229,18.0,74.0,117.0,84.0
230,18.0,74.0,117.0,84.0
231,18.0,74.0,117.0,84.0
232,18.0,74.0,117.0,84.0
233,18.0,74.0,117.0,84.0
234,13.0,79.0,129.0,86.0
235,13.0,79.0,129.0,86.0
236,13.0,79.0,129.0,86.0
237,13.0,79.0,129.0,86.0
238,13.0,79.0,129.0,86.0
239,13.0,79.0,129.0,86.0
240,21.0,72.0,145.0,95.0
241,21.0,72.0,145.0,95.0
242,21.0,72.0,145.0,95.0
243,21.0,72.0,145.0,95.0
244,21.0,72.0,145.0,95.0
245,21.0,72.0,145.0,95.0
246,18.0,187.0,70.0,0.0
247,17.0,188.0,85.0,3.0
248,17.0,188.0,85.0,3.0
249,17.0,188.0,85.0,3.0
250,16.0,181.0,85.0,30.0
251,16.0,181.0,85.0,30.0
252,16.0,181.0,85.0,30.0
253,16.0,181.0,85.0,30.0
254,16.0,181.0,85.0,30.0
255,16.0,181.0,85.0,30.0
256,16.0,181.0,85.0,30.0
257,14.0,200.0,86.0,43.0
258,14.0,200.0,86.0,43.0
259,14.0,200.0,86.0,43.0
260,14.0,200.0,86.0,43.0
261,23.0,189.0,80.0,61.0
262,23.0,189.0,80.0,61.0
263,23.0,189.0,80.0,61.0
264,23.0,151.0,93.0,60.0
265,23.0,151.0,93.0,60.0
266,23.0,151.0,93.0,60.0
267,23.0,151.0,93.0,60.0
268,23.0,151.0,93.0,60.0
269,23.0,161.0,104.0,70.0
270,23.0,161.0,104.0,70.0
271,23.0,161.0,104.0,70.0
272,23.0,167.0,115.0,67.0
273,23.0,167.0,115.0,67.0
274,23.0,167.0,115.0,67.0
275,17.0,162.0,121.0,90.0
276,17.0,162.0,121.0,90.0
277,17.0,162.0,121.0,90.0
278,19.0,164.0,133.0,97.0
279,19.0,164.0,133.0,97.0
280,19.0,164.0,133.0,97.0
281,24.0,168.0,153.0,103.0
282,24.0,168.0,153.0,103.0
283,24.0,168.0,153.0,103.0
284,28.0,184.0,178.0,139.0
285,28.0,184.0,178.0,139.0
286,28.0,184.0,178.0,139.0
287,246.0,368.0,127.0,0.0
288,246.0,368.0,127.0,0.0
289,245.0,399.0,141.0,0.0
290,245.0,399.0,141.0,0.0
291,245.0,399.0,141.0,0.0
292,245.0,399.0,141.0,0.0
293,245.0,399.0,141.0,0.0
294,245.0,399.0,141.0,0.0
295,262.0,410.0,161.0,23.0
296,262.0,410.0,161.0,23.0
297,262.0,410.0,161.0,23.0
298,262.0,410.0,161.0,23.0
299,262.0,410.0,161.0,23.0
300,262.0,410.0,161.0,23.0
301,262.0,410.0,161.0,23.0
302,262.0,410.0,161.0,23.0
303,262.0,410.0,161.0,23.0
304,262.0,410.0,161.0,23.0
305,262.0,410.0,161.0,23.0
306,262.0,410.0,161.0,23.0
307,262.0,410.0,161.0,23.0
308,262.0,410.0,161.0,23.0
309,343.0,455.0,200.0,0.0
310,343.0,455.0,200.0,0.0
311,343.0,455.0,200.0,0.0
312,343.0,455.0,200.0,0.0
313,343.0,455.0,200.0,0.0
314,343.0,455.0,200.0,0.0
315,343.0,455.0,200.0,0.0
316,343.0,455.0,200.0,0.0
317,366.0,494.0,211.0,22.0
318,366.0,494.0,211.0,22.0
319,366.0,494.0,211.0,22.0
320,366.0,494.0,211.0,22.0
321,366.0,494.0,211.0,22.0
322,366.0,494.0,211.0,22.0
323,376.0,377.0,264.0,133.0
324,376.0,377.0,264.0,133.0
325,376.0,377.0,264.0,133.0
326,376.0,377.0,264.0,133.0
327,376.0,377.0,264.0,133.0
328,376.0,377.0,264.0,133.0
329,376.0,377.0,264.0,133.0
330,376.0,377.0,264.0,133.0
331,376.0,377.0,264.0,133.0
332,376.0,377.0,264.0,133.0
333,387.0,354.0,297.0,189.0
334,387.0,354.0,297.0,189.0
335,387.0,354.0,297.0,189.0
336,387.0,354.0,297.0,189.0
337,387.0,354.0,297.0,189.0
338,387.0,354.0,297.0,189.0
339,408.0,351.0,310.0,220.0
340,408.0,351.0,310.0,220.0
341,408.0,351.0,310.0,220.0
342,408.0,351.0,310.0,220.0
343,408.0,351.0,310.0,220.0
344,408.0,351.0,310.0,220.0
345,426.0,339.0,337.0,240.0
346,426.0,339.0,337.0,240.0
347,426.0,339.0,337.0,240.0
348,426.0,339.0,337.0,240.0
349,426.0,339.0,337.0,240.0
350,426.0,339.0,337.0,240.0
351,442.0,319.0,356.0,285.0
352,442.0,319.0,356.0,285.0
353,442.0,319.0,356.0,285.0
354,442.0,319.0,356.0,285.0
355,442.0,319.0,356.0,285.0
356,442.0,319.0,356.0,285.0
357,463.0,327.0,349.0,320.0
358,463.0,327.0,349.0,320.0
359,463.0,327.0,349.0,320.0
360,463.0,327.0,349.0,320.0
361,463.0,327.0,349.0,320.0
362,463.0,327.0,349.0,320.0
363,495.0,360.0,363.0,353.0
364,495.0,360.0,363.0,353.0
365,495.0,360.0,363.0,353.0
366,495.0,360.0,363.0,353.0
367,495.0,360.0,363.0,353.0
368,495.0,360.0,363.0,353.0
389,513.0,314.0,138.0,41.0
390,513.0,314.0,138.0,41.0
391,513.0,314.0,138.0,41.0
392,513.0,314.0,138.0,41.0
393,563.0,325.0,150.0,98.0
394,563.0,325.0,150.0,98.0
395,563.0,325.0,150.0,98.0
396,619.0,340.0,206.0,105.0
397,619.0,340.0,206.0,105.0
398,619.0,340.0,206.0,105.0
399,619.0,340.0,206.0,105.0
400,619.0,340.0,206.0,105.0
401,648.0,303.0,214.0,134.0
402,648.0,303.0,214.0,134.0
403,648.0,303.0,214.0,134.0
404,705.0,281.0,214.0,151.0
405,705.0,281.0,214.0,151.0
406,705.0,281.0,214.0,151.0
407,757.0,278.0,231.0,167.0
408,757.0,278.0,231.0,167.0
409,757.0,278.0,231.0,167.0
410,848.0,263.0,274.0,195.0
411,848.0,263.0,274.0,195.0
412,848.0,263.0,274.0,195.0
413,920.0,278.0,290.0,222.0
414,920.0,278.0,290.0,222.0
415,920.0,278.0,290.0,222.0
416,1009.0,319.0,301.0,265.0
417,1009.0,319.0,301.0,265.0
418,1009.0,319.0,301.0,265.0
460,353.0,228.0,131.0,0.0
461,360.0,229.0,133.0,0.0
462,360.0,229.0,133.0,0.0
463,360.0,229.0,133.0,0.0
464,438.0,219.0,130.0,0.0
465,438.0,219.0,130.0,0.0
466,438.0,219.0,130.0,0.0
467,438.0,219.0,130.0,0.0
468,438.0,219.0,130.0,0.0
469,438.0,219.0,130.0,0.0
470,438.0,219.0,130.0,0.0
471,487.0,227.0,120.0,0.0
472,487.0,227.0,120.0,0.0
473,487.0,227.0,120.0,0.0
474,487.0,227.0,120.0,0.0
475,529.0,242.0,149.0,0.0
476,529.0,242.0,149.0,0.0
477,529.0,242.0,149.0,0.0
478,480.0,176.0,133.0,111.0
479,480.0,176.0,133.0,111.0
480,480.0,176.0,133.0,111.0
481,480.0,176.0,133.0,111.0
482,480.0,176.0,133.0,111.0
483,465.0,159.0,130.0,117.0
484,465.0,159.0,130.0,117.0
485,465.0,159.0,130.0,117.0
486,514.0,169.0,150.0,121.0
487,514.0,169.0,150.0,121.0
488,514.0,169.0,150.0,121.0
489,562.0,186.0,166.0,130.0
490,562.0,186.0,166.0,130.0
491,562.0,186.0,166.0,130.0
492,600.0,176.0,167.0,149.0
493,600.0,176.0,167.0,149.0
494,600.0,176.0,167.0,149.0
495,672.0,178.0,178.0,161.0
496,672.0,178.0,178.0,161.0
497,672.0,178.0,178.0,161.0
498,676.0,185.0,186.0,167.0
499,676.0,185.0,186.0,167.0
500,676.0,185.0,186.0,167.0
501,25.0,19.0,6.0,0.0
502,23.0,20.0,6.0,1.0
503,23.0,20.0,6.0,1.0
504,23.0,20.0,6.0,1.0
505,15.0,17.0,5.0,0.0
506,15.0,17.0,5.0,0.0
507,15.0,17.0,5.0,0.0
508,15.0,17.0,5.0,0.0
509,15.0,17.0,5.0,0.0
510,15.0,17.0,5.0,0.0
511,15.0,17.0,5.0,0.0
512,18.0,18.0,6.0,1.0
513,18.0,18.0,6.0,1.0
514,18.0,18.0,6.0,1.0
515,18.0,18.0,6.0,1.0
516,28.0,22.0,12.0,4.0
517,28.0,22.0,12.0,4.0
518,28.0,22.0,12.0,4.0
519,31.0,16.0,16.0,23.0
520,31.0,16.0,16.0,23.0
521,31.0,16.0,16.0,23.0
522,31.0,16.0,16.0,23.0
523,31.0,16.0,16.0,23.0
524,36.0,13.0,20.0,21.0
525,36.0,13.0,20.0,21.0
526,36.0,13.0,20.0,21.0
527,38.0,15.0,25.0,22.0
528,38.0,15.0,25.0,22.0
529,38.0,15.0,25.0,22.0
530,37.0,15.0,24.0,22.0
531,37.0,15.0,24.0,22.0
532,37.0,15.0,24.0,22.0
533,33.0,11.0,26.0,19.0
534,33.0,11.0,26.0,19.0
535,33.0,11.0,26.0,19.0
536,37.0,9.0,26.0,29.0
537,37.0,9.0,26.0,29.0
538,37.0,9.0,26.0,29.0
539,33.0,9.0,26.0,37.0
540,33.0,9.0,26.0,37.0
541,33.0,9.0,26.0,37.0
542,34.0,229.0,79.0,0.0
543,37.0,232.0,80.0,0.0
544,37.0,232.0,80.0,0.0
545,37.0,232.0,80.0,0.0
546,42.0,263.0,92.0,1.0
547,42.0,263.0,92.0,1.0
548,42.0,263.0,92.0,1.0
549,42.0,263.0,92.0,1.0
550,42.0,263.0,92.0,1.0
551,42.0,263.0,92.0,1.0
552,42.0,263.0,92.0,1.0
553,40.0,263.0,107.0,1.0
554,40.0,263.0,107.0,1.0
555,40.0,263.0,107.0,1.0
556,40.0,263.0,107.0,1.0
557,44.0,265.0,110.0,9.0
558,44.0,265.0,110.0,9.0
559,44.0,265.0,110.0,9.0
560,54.0,252.0,124.0,37.0
561,54.0,252.0,124.0,37.0
562,54.0,252.0,124.0,37.0
563,54.0,252.0,124.0,37.0
564,54.0,252.0,124.0,37.0
565,53.0,239.0,155.0,57.0
566,53.0,239.0,155.0,57.0
567,53.0,239.0,155.0,57.0
568,52.0,219.0,160.0,72.0
569,52.0,219.0,160.0,72.0
570,52.0,219.0,160.0,72.0
571,75.0,205.0,153.0,89.0
572,75.0,205.0,153.0,89.0
573,75.0,205.0,153.0,89.0
574,88.0,223.0,153.0,106.0
575,88.0,223.0,153.0,106.0
576,88.0,223.0,153.0,106.0
577,99.0,212.0,157.0,125.0
578,99.0,212.0,157.0,125.0
579,99.0,212.0,157.0,125.0
580,107.0,226.0,179.0,151.0
581,107.0,226.0,179.0,151.0
582,107.0,226.0,179.0,151.0
583,21.0,6.0,1.0,0.0
584,21.0,6.0,1.0,0.0
585,23.0,8.0,1.0,0.0
586,23.0,8.0,1.0,0.0
587,23.0,8.0,1.0,0.0
588,23.0,8.0,1.0,0.0
589,23.0,8.0,1.0,0.0
590,23.0,8.0,1.0,0.0
591,23.0,11.0,2.0,2.0
592,23.0,11.0,2.0,2.0
593,23.0,11.0,2.0,2.0
594,23.0,11.0,2.0,2.0
595,23.0,11.0,2.0,2.0
596,23.0,11.0,2.0,2.0
597,23.0,11.0,2.0,2.0
598,23.0,11.0,2.0,2.0
599,23.0,11.0,2.0,2.0
600,23.0,11.0,2.0,2.0
601,23.0,11.0,2.0,2.0
602,23.0,11.0,2.0,2.0
603,23.0,11.0,2.0,2.0
604,23.0,11.0,2.0,2.0
605,21.0,6.0,3.0,6.0
606,21.0,6.0,3.0,6.0
607,21.0,6.0,3.0,6.0
608,21.0,6.0,3.0,6.0
609,21.0,6.0,3.0,6.0
610,21.0,6.0,3.0,6.0
611,21.0,6.0,3.0,6.0
612,21.0,6.0,3.0,6.0
613,20.0,2.0,8.0,7.0
614,20.0,2.0,8.0,7.0
615,20.0,2.0,8.0,7.0
616,20.0,2.0,8.0,7.0
617,20.0,2.0,8.0,7.0
618,20.0,2.0,8.0,7.0
619,18.0,1.0,7.0,3.0
620,18.0,1.0,7.0,3.0
621,18.0,1.0,7.0,3.0
622,18.0,1.0,7.0,3.0
623,18.0,1.0,7.0,3.0
624,18.0,1.0,7.0,3.0
625,18.0,1.0,7.0,3.0
626,18.0,1.0,7.0,3.0
627,18.0,1.0,7.0,3.0
628,18.0,1.0,7.0,3.0
629,26.0,2.0,5.0,5.0
630,26.0,2.0,5.0,5.0
631,26.0,2.0,5.0,5.0
632,26.0,2.0,5.0,5.0
633,26.0,2.0,5.0,5.0
634,26.0,2.0,5.0,5.0
635,31.0,6.0,8.0,10.0
636,31.0,6.0,8.0,10.0
637,31.0,6.0,8.0,10.0
638,31.0,6.0,8.0,10.0
639,31.0,6.0,8.0,10.0
640,31.0,6.0,8.0,10.0
641,29.0,1.0,11.0,11.0
642,29.0,1.0,11.0,11.0
643,29.0,1.0,11.0,11.0
644,29.0,1.0,11.0,11.0
645,29.0,1.0,11.0,11.0
646,29.0,1.0,11.0,11.0
647,24.0,0.0,7.0,13.0
648,24.0,0.0,7.0,13.0
649,24.0,0.0,7.0,13.0
650,24.0,0.0,7.0,13.0
651,24.0,0.0,7.0,13.0
652,24.0,0.0,7.0,13.0
653,24.0,0.0,7.0,12.0
654,24.0,0.0,7.0,12.0
655,24.0,0.0,7.0,12.0
656,24.0,0.0,7.0,12.0
657,24.0,0.0,7.0,12.0
658,24.0,0.0,7.0,12.0
659,28.0,3.0,8.0,17.0
660,28.0,3.0,8.0,17.0
661,28.0,3.0,8.0,17.0
662,28.0,3.0,8.0,17.0
663,28.0,3.0,8.0,17.0
664,28.0,3.0,8.0,17.0
665,1.0,2.0,5.0,0.0
666,1.0,2.0,5.0,0.0
667,0.0,3.0,2.0,0.0
668,0.0,3.0,2.0,0.0
669,0.0,3.0,2.0,0.0
670,0.0,3.0,2.0,0.0
671,0.0,3.0,2.0,0.0
672,0.0,3.0,2.0,0.0
673,0.0,3.0,2.0,0.0
674,0.0,3.0,2.0,0.0
675,0.0,3.0,2.0,0.0
676,0.0,3.0,2.0,0.0
677,0.0,3.0,2.0,0.0
678,0.0,3.0,2.0,0.0
679,0.0,3.0,2.0,0.0
680,0.0,3.0,2.0,0.0
681,0.0,3.0,2.0,0.0
682,0.0,3.0,2.0,0.0
683,0.0,3.0,2.0,0.0
684,0.0,3.0,2.0,0.0
685,0.0,3.0,2.0,0.0
686,0.0,3.0,2.0,0.0
687,1.0,2.0,2.0,0.0
688,1.0,2.0,2.0,0.0
689,1.0,2.0,2.0,0.0
690,1.0,2.0,2.0,0.0
691,1.0,2.0,2.0,0.0
692,1.0,2.0,2.0,0.0
693,1.0,2.0,2.0,0.0
694,1.0,2.0,2.0,0.0
695,0.0,4.0,4.0,0.0
696,0.0,4.0,4.0,0.0
697,0.0,4.0,4.0,0.0
698,0.0,4.0,4.0,0.0
699,0.0,4.0,4.0,0.0
700,0.0,4.0,4.0,0.0
701,1.0,4.0,5.0,0.0
702,1.0,4.0,5.0,0.0
