COUNTY_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK OR AFRICAN AMERICAN,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC OR LATINO,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,COUNTY_CODE,ENGLISH LANGUAGE LEARNERS,NON-ENGLISH LANGUAGE LEARNERS,ENGLISH LANGUAGE LEARNER,NOT ENGLISH LANGUAGE LEARNER,FORMERLY ENGLISH LANGUAGE LEARNER,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,HISPANIC,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES
YATES,0.0,0.0,0.0,43.57,50.12,,80.12,0.0,,49.88,0.0,0.0,56.43,,0.0,11.55,86.19,85.83,68,0.0,0.0,,,,,,,,,,,,,
ALBANY,0.0,7.12,18.74,30.7,47.1,,84.41,5.85,,48.6,0.0,1.06,69.3,,0.0,11.82,60.92,86.3,1,,,1.58,22.8,,,,,,,,,,,
ALLEGANY,0.0,0.0,0.0,45.66,49.31,,53.31,0.0,,49.36,0.0,0.0,54.34,,0.0,8.22,13.71,91.68,2,,,0.0,0.0,,,,,,,,,,,
BRONX,0.24,4.84,18.68,71.08,47.14,,75.3,56.29,,51.39,0.0,0.15,25.0,,0.0,18.58,2.81,71.71,32,,,10.9,51.09,,,,,,,,,,,
BROOME,0.0,2.0,8.37,43.4,49.76,,85.11,3.92,,50.24,0.0,1.96,56.6,,0.0,13.57,70.87,87.67,3,,,0.42,19.35,,,,,,,,,,,
CATTARAUGUS,3.87,0.0,1.38,44.72,49.49,,81.55,0.31,,50.51,0.0,0.43,55.28,,0.0,12.1,55.53,88.07,4,,,0.0,0.0,,,,,,,,,,,
CAYUGA,0.0,0.0,4.77,39.25,50.69,,70.05,1.17,,49.31,0.0,0.82,60.75,,0.0,7.18,64.87,86.61,5,,,0.0,0.0,,,,,,,,,,,
CHAUTAUQUA,0.73,0.0,0.94,46.48,49.67,,79.39,9.78,,50.33,0.09,2.12,53.52,,2.37,9.81,41.87,87.6,6,,,1.14,26.89,,,,,,,,,,,
CHEMUNG,0.0,1.33,10.4,43.41,49.16,,89.3,2.27,,50.84,0.0,0.56,56.59,,0.0,10.7,80.46,77.66,7,,,0.0,0.0,,,,,,,,,,,
CHENANGO,0.0,0.0,0.52,48.48,49.87,,75.98,0.26,,50.13,0.0,0.0,51.52,,0.0,14.77,34.4,90.23,8,,,0.0,0.0,,,,,,,,,,,
CLINTON,0.3,0.0,0.97,41.68,48.83,,77.67,0.0,,51.17,0.0,0.35,58.32,,0.0,15.92,46.29,88.18,9,,,0.0,0.0,,,,,,,,,,,
COLUMBIA,0.0,1.49,6.02,41.02,49.84,,78.11,3.17,,49.62,0.23,1.09,58.44,,5.83,14.7,67.75,86.93,10,,,1.22,15.56,,,,,,,,,,,
CORTLAND,0.0,0.0,1.61,39.73,45.92,,86.0,0.5,,54.08,0.0,0.0,60.27,,0.0,14.0,68.03,89.07,11,,,0.0,0.0,,,,,,,,,,,
DELAWARE,0.0,0.0,0.0,46.75,52.12,,59.99,0.0,,46.12,0.0,0.0,51.5,,0.0,12.68,31.18,90.38,12,,,0.0,0.0,,,,,,,,,,,
DUTCHESS,0.0,2.88,11.27,29.37,49.29,,86.33,12.25,,50.71,0.0,0.53,70.63,,0.0,12.23,68.82,88.64,13,,,0.53,15.01,,,,,,,,,,,
ERIE,0.23,3.24,18.75,38.68,50.16,,85.45,5.87,,49.75,0.0,0.51,60.13,,0.0,12.79,64.63,86.39,14,,,2.63,18.05,,,,,,,,,,,
ESSEX,0.0,0.0,0.0,43.71,44.55,,53.87,0.0,,47.63,0.0,0.0,50.37,,0.0,11.07,0.0,91.34,15,,,0.0,0.0,,,,,,,,,,,
FRANKLIN,11.77,0.0,0.0,48.76,49.93,,78.38,0.0,,48.76,0.0,0.0,51.24,,0.0,16.89,30.44,86.19,16,,,0.0,0.0,,,,,,,,,,,
FULTON,0.0,0.41,2.55,46.83,50.41,,83.53,1.4,,49.59,0.0,0.0,53.17,,0.0,14.25,75.25,81.59,17,,,0.0,0.0,,,,,,,,,,,
GENESEE,0.0,0.0,2.05,39.11,50.66,,80.66,1.35,,49.34,0.0,1.0,60.89,,0.0,10.31,50.39,93.47,18,,,0.0,0.0,,,,,,,,,,,
GREENE,0.0,0.0,3.77,40.92,50.4,,76.55,3.34,,49.6,0.0,0.27,59.08,,0.0,15.26,72.02,89.06,19,,,0.0,0.0,,,,,,,,,,,
HAMILTON,0.0,0.0,0.0,33.68,34.74,,8.42,0.0,,44.21,0.0,0.0,27.37,,0.0,5.26,0.0,94.74,20,,,0.0,0.0,,,,,,,,,,,
HERKIMER,0.0,0.0,0.21,46.04,49.21,,72.07,0.0,,50.79,0.0,0.0,51.78,,0.0,11.91,31.07,88.41,21,,,0.0,0.0,,,,,,,,,,,
JEFFERSON,0.0,0.37,5.39,46.69,48.45,,77.82,5.22,,51.55,0.0,1.49,53.31,,0.0,15.24,59.16,87.53,22,,,0.0,0.0,,,,,,,,,,,
KINGS,0.07,15.15,39.41,70.52,46.93,,81.15,22.2,,51.47,0.0,0.5,27.93,,0.0,15.19,12.44,77.45,33,,,6.57,49.04,,,,,,,,,,,
LEWIS,0.0,0.0,0.0,49.25,50.42,,61.37,0.0,,49.58,0.0,0.0,50.75,,0.0,11.79,26.25,92.47,23,,,0.0,0.0,,,,,,,,,,,
LIVINGSTON,0.0,0.0,0.0,32.19,48.35,,78.76,0.0,,51.65,0.0,0.0,67.81,,0.0,9.25,59.07,91.63,24,,,0.0,0.0,,,,,,,,,,,
MADISON,0.22,0.0,0.0,35.7,48.87,,77.62,0.0,,50.78,0.0,0.19,63.95,,0.0,13.17,64.23,89.64,25,,,0.0,0.0,,,,,,,,,,,
MONROE,0.0,3.31,22.22,40.28,49.75,,86.22,10.56,,48.59,0.0,0.72,57.76,,0.0,12.36,59.21,85.59,26,,,2.76,28.43,,,,,,,,,,,
