AGGREGATION_CODE,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,LIMITED ENGLISH PROFICIENT,FEMALE,GENERAL EDUCATION STUDENTS,HISPANIC,MALE,MIGRANT,MULTIRACIAL,NOT LIMITED ENGLISH PROFICIENT,NOT ECONOMICALLY DISADVANTAGED,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_NAME,COUNTY_CODE,COUNTY_NAME,YEAR
30501040003,0.0,0.0,0.0,48.99,0.0,47.37,79.35,0.0,52.63,0.0,0.0,0.0,51.01,0.0,20.65,0.0,92.71,HARPURSVILLE JUNIOR-SENIOR HIGH SCH,3,BROOME,2016
30601060006,0.0,0.0,0.0,31.33,0.0,50.66,85.18,0.0,49.34,0.0,0.94,0.0,68.67,0.0,14.82,92.87,91.56,SUSQUEHANNA VALLEY SENIOR HIGH SCH,3,BROOME,2016
30701060001,0.0,2.07,1.24,36.16,0.0,52.69,84.71,0.0,47.31,0.0,0.0,0.0,63.84,0.0,15.29,90.29,92.77,CHENANGO VALLEY HIGH SCHOOL,3,BROOME,2016
31101060006,0.0,0.0,2.2,27.46,0.0,50.52,85.88,1.3,49.48,0.0,0.0,0.0,72.54,0.0,14.12,92.49,95.34,MAINE-ENDWELL SENIOR HIGH SCHOOL,3,BROOME,2016
31301040003,0.0,0.0,0.0,56.41,0.0,47.44,67.31,0.0,52.56,0.0,0.0,0.0,43.59,0.0,14.1,0.0,96.79,DEPOSIT MIDDLE-SENIOR HIGH SCHOOL,3,BROOME,2016
31401060004,0.0,0.0,0.0,49.34,0.0,53.32,84.51,0.0,46.68,0.0,0.0,0.0,50.66,0.0,15.49,75.22,81.86,WHITNEY POINT SENIOR HIGH SCHOOL,3,BROOME,2016
31501060012,0.0,2.22,5.97,37.97,0.0,48.29,85.84,5.29,51.71,0.0,5.63,0.0,62.03,0.0,14.16,80.03,92.06,UNION-ENDICOTT HIGH SCHOOL,3,BROOME,2016
31502060006,0.0,6.69,11.45,60.36,0.64,47.49,85.07,9.27,52.51,0.0,0.0,24.32,39.64,0.0,14.93,68.21,88.29,JOHNSON CITY SENIOR HIGH SCHOOL,3,BROOME,2016
31601060051,0.0,7.4,2.41,15.36,0.0,50.79,88.81,0.46,49.21,0.0,0.0,0.0,84.64,0.0,11.19,86.03,95.0,VESTAL SENIOR HIGH SCHOOL,3,BROOME,2016
31701060007,0.0,0.0,0.0,38.56,0.0,44.86,87.75,0.0,55.14,0.0,0.0,0.0,61.44,0.0,12.25,94.95,91.89,WINDSOR CENTRAL HIGH SCHOOL,3,BROOME,2016
40204040001,0.0,0.0,0.0,30.0,0.0,54.0,0.0,0.0,46.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,94.0,WEST VALLEY CENTRAL SCHOOL,4,CATTARAUGUS,2016
40302060001,0.0,0.0,0.0,30.62,0.0,54.2,91.6,0.0,45.8,0.0,0.0,0.0,69.38,0.0,8.4,71.27,91.87,ALLEGANY-LIMESTONE HIGH SCHOOL,4,CATTARAUGUS,2016
40901040002,0.0,0.0,0.0,23.83,0.0,49.22,47.67,0.0,50.78,0.0,0.0,0.0,76.17,0.0,5.18,26.42,96.37,ELLICOTTVILLE MIDDLE/HIGH SCHOOL,4,CATTARAUGUS,2016
41101040002,0.0,0.0,0.0,47.06,0.0,44.8,86.88,0.0,55.2,0.0,0.0,0.0,52.94,0.0,13.12,0.0,94.12,FRANKLINVILLE JUNIOR-SENIOR HIGH SCH,4,CATTARAUGUS,2016
41401040001,0.0,0.0,0.0,56.31,0.0,51.46,20.39,0.0,48.54,0.0,0.0,0.0,43.69,0.0,5.83,0.0,84.47,HINSDALE CENTRAL SCHOOL,4,CATTARAUGUS,2016
42302040003,0.0,0.0,0.0,42.51,0.0,48.43,73.87,0.0,51.57,0.0,0.0,0.0,57.49,0.0,26.13,19.86,83.28,CATTARAUGUS-LITTLE VALLEY HS,4,CATTARAUGUS,2016
42400010013,0.0,0.0,8.17,46.47,0.0,49.36,88.94,0.0,50.64,0.0,1.92,0.0,53.53,0.0,11.06,83.97,84.62,OLEAN SENIOR HIGH SCHOOL,4,CATTARAUGUS,2016
42801060006,16.4,0.0,0.0,47.88,0.0,46.3,88.62,0.0,53.7,0.0,1.32,0.0,52.12,0.0,11.38,74.87,86.77,GOWANDA HIGH SCHOOL,4,CATTARAUGUS,2016
42901040002,0.0,0.0,0.0,35.09,0.0,49.06,88.68,0.0,50.94,0.0,0.0,0.0,64.91,0.0,11.32,0.0,94.34,PORTVILLE JUNIOR-SENIOR HIGH SCHOOL,4,CATTARAUGUS,2016
43001040002,0.0,0.0,0.0,41.33,0.0,49.45,88.56,0.0,50.55,0.0,0.0,0.0,58.67,0.0,11.44,0.0,93.73,RANDOLPH SENIOR HIGH SCHOOL,4,CATTARAUGUS,2016
43200050002,20.28,0.0,0.0,44.23,0.0,46.76,84.79,0.0,53.24,0.0,0.0,0.0,55.77,0.0,15.21,55.77,70.42,SALAMANCA JUNIOR/SENIOR HIGH SCHOOL,4,CATTARAUGUS,2016
43501060006,0.0,0.0,0.0,48.34,0.0,46.35,87.65,0.66,53.65,0.0,0.0,0.0,51.66,0.0,12.35,95.35,89.38,PIONEER SENIOR HIGH SCHOOL,4,CATTARAUGUS,2016
50100010013,0.0,0.0,9.37,40.52,0.0,50.78,91.08,1.78,49.22,0.0,1.19,0.0,59.48,0.0,8.92,84.76,78.36,AUBURN HIGH SCHOOL,5,CAYUGA,2016
50301040002,0.0,0.0,0.0,23.66,0.0,46.59,88.17,0.0,53.41,0.0,0.0,0.0,76.34,0.0,11.83,91.76,95.7,WEEDSPORT JUNIOR-SENIOR HIGH SCHOOL,5,CAYUGA,2016
50401040003,0.0,0.0,0.0,34.13,0.0,47.78,67.24,0.0,52.22,0.0,0.0,0.0,65.87,0.0,6.83,26.28,95.22,CATO-MERIDIAN SENIOR HIGH SCHOOL,5,CAYUGA,2016
50701040005,0.0,0.0,0.0,34.27,0.0,47.89,46.01,0.0,52.11,0.0,0.0,0.0,65.73,0.0,4.69,0.0,91.55,SOUTHERN CAYUGA 7-12 SECONDARY SCH,5,CAYUGA,2016
51101040004,0.0,0.0,0.0,37.03,0.0,49.37,90.82,0.0,50.63,0.0,0.0,0.0,62.97,0.0,9.18,71.52,89.24,PORT BYRON SENIOR HIGH SCHOOL,5,CAYUGA,2016
