AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,0.0,5.65,29.72,84.68,5.07,48.96,7.03,87.33,60.14,8.76,0.0,51.04,0.0,0.0,15.32,94.93,91.24,0.0,0.0,0.0,0.0,12.67,0.81,81.11,310600011540,31,NEW YORK
ABRAHAM LINCOLN HIGH SCHOOL,0.0,12.29,34.88,74.41,12.94,40.1,9.51,85.06,23.23,4.79,0.0,59.9,0.0,0.0,25.59,87.06,95.21,0.0,0.0,0.0,0.0,14.94,20.94,80.74,332100011410,33,KINGS
ACAD FOR COLLEGE PREP & CAREER EXPLORATION: A COLLEGE BOARD,0.0,0.0,83.24,78.92,6.49,39.46,3.78,80.54,9.73,13.51,0.0,60.54,0.0,0.0,21.08,60.0,86.49,0.0,0.0,0.0,0.0,19.46,0.0,74.32,331700011382,33,KINGS
ACADEMY FOR CAREERS IN TELEVISION AND FILM,0.0,2.76,16.33,51.51,0.0,50.75,1.76,79.65,51.26,0.0,0.0,49.25,0.0,2.51,48.49,0.0,0.0,0.0,0.0,0.0,0.0,20.35,20.6,98.87,343000011301,34,QUEENS
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,0.0,0.0,80.87,78.26,7.39,41.3,2.61,82.61,5.65,10.0,0.0,58.7,0.0,0.0,21.74,60.43,90.0,0.0,0.0,0.0,0.0,17.39,3.91,85.87,331800011637,33,KINGS
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,0.0,0.0,8.43,77.51,33.33,51.0,8.03,81.53,78.31,17.67,0.0,49.0,0.0,0.0,22.49,66.67,82.33,0.0,0.0,0.0,0.0,18.47,0.0,77.91,333200011403,33,KINGS
ACADEMY FOR HEALTH CAREERS,0.0,0.0,82.05,80.77,0.0,72.22,0.0,87.18,6.84,13.25,0.0,27.78,0.0,0.0,19.23,0.0,86.75,0.0,0.0,0.0,0.0,12.82,0.0,85.04,331700011751,33,KINGS
ACADEMY FOR LANGUAGE AND TECHNOLOGY,0.0,0.0,0.0,0.0,31.11,40.44,45.33,89.78,0.0,35.11,0.0,59.56,0.0,0.0,0.0,68.89,64.89,0.0,0.0,0.0,0.0,10.22,0.0,96.89,320900011365,32,BRONX
ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP,0.0,2.39,64.85,70.31,4.44,50.17,0.0,77.82,26.28,10.24,0.0,49.83,0.0,0.0,29.69,63.14,89.76,0.0,0.0,0.0,0.0,22.18,0.0,74.4,321100011270,32,BRONX
ACADEMY FOR SOCIAL ACTION-A COLLEGE BOARD SCHOOL,0.0,0.0,12.96,51.85,29.63,38.89,0.0,68.52,55.56,11.11,0.0,61.11,0.0,0.0,12.96,70.37,24.07,0.0,0.0,0.0,0.0,31.48,0.0,50.0,310500011367,31,NEW YORK
ACADEMY FOR SOFTWARE ENGINEERING,0.0,5.21,26.38,69.94,0.0,21.78,1.53,74.54,53.07,4.91,0.0,78.22,0.0,0.0,30.06,0.0,62.27,0.0,0.0,0.0,0.0,25.46,8.9,91.1,310200011546,31,NEW YORK
ACADEMY FOR YOUNG WRITERS,0.0,0.0,75.9,73.9,0.0,66.27,0.0,83.13,8.84,2.81,0.0,33.73,0.0,0.0,26.1,0.0,43.78,0.0,0.0,0.0,0.0,16.87,0.0,93.98,331900011404,33,KINGS
ACADEMY OF AMERICAN STUDIES,0.0,30.23,0.0,70.2,0.0,58.62,5.23,93.36,31.07,0.0,0.0,41.38,0.0,0.0,29.8,0.0,0.0,0.0,0.0,0.0,0.0,6.64,31.78,97.25,343000011575,34,QUEENS
ACADEMY OF FINANCE AND ENTERPRISE,0.0,24.64,2.17,77.54,0.0,53.86,8.21,90.58,49.76,1.69,0.0,46.14,0.0,0.0,22.46,0.0,34.06,0.0,0.0,0.0,0.0,9.42,16.43,96.62,342400011264,34,QUEENS
ACADEMY OF HOSPITALITY AND TOURISM,0.0,0.0,50.35,31.91,7.8,56.03,0.0,69.5,0.0,4.96,0.0,43.97,0.0,0.0,4.26,66.67,33.33,0.0,0.0,0.0,0.0,30.5,0.0,79.79,331700011408,33,KINGS
ACADEMY OF INNOVATIVE TECHNOLOGY,0.0,2.58,40.96,82.29,7.38,20.66,5.17,78.6,48.71,3.69,0.0,79.34,0.0,0.0,17.71,59.41,28.04,0.0,0.0,0.0,0.0,21.4,0.0,86.9,331900011618,33,KINGS
ACADEMY OF URBAN PLANNING AND ENGINEERING,0.0,0.0,10.78,33.53,25.75,45.51,8.38,78.44,79.04,8.38,0.0,54.49,0.0,0.0,4.19,74.25,59.88,0.0,0.0,0.0,0.0,21.56,0.0,81.74,333200011552,33,KINGS
ACADEMY SCHOOL AT 4,0.0,4.84,64.84,64.84,14.19,44.19,0.0,78.39,15.81,4.52,0.0,55.81,0.0,0.0,35.16,85.81,59.68,0.0,0.0,0.0,0.0,21.61,0.0,14.84,140600010133,14,ERIE
ACADEY OF MEDICAL TECHNOLOGY - A COLLEGE BOARD SCHOOL,0.0,4.97,42.38,76.82,7.28,55.63,2.32,85.43,43.71,1.66,0.0,44.37,0.0,0.0,23.18,63.91,35.76,0.0,0.0,0.0,0.0,14.57,0.0,75.33,342700011309,34,QUEENS
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,0.0,0.0,51.25,71.25,0.0,61.25,0.0,0.0,48.75,0.0,0.0,38.75,0.0,0.0,28.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.5,333200860906,33,KINGS
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,0.0,0.0,43.68,63.79,0.0,58.05,0.0,82.76,6.9,0.0,0.0,41.95,0.0,0.0,36.21,0.0,0.0,0.0,0.0,0.0,0.0,17.24,0.0,95.11,331700860879,33,KINGS
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,0.0,0.0,54.74,72.26,0.0,45.26,0.0,16.79,3.65,0.0,0.0,54.74,0.0,0.0,27.74,0.0,0.0,0.0,0.0,0.0,0.0,4.38,0.0,90.51,331900860880,33,KINGS
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,0.0,0.0,84.38,76.04,0.0,57.29,0.0,46.88,7.29,0.0,0.0,42.71,0.0,0.0,23.96,0.0,0.0,0.0,0.0,0.0,0.0,10.42,0.0,98.96,331300860902,33,KINGS
ADDISON HIGH SCHOOL,0.0,0.0,0.0,57.09,0.0,50.19,0.0,86.59,0.0,0.0,0.0,49.81,0.0,0.0,42.91,0.0,0.0,0.0,0.0,0.0,0.0,13.41,0.0,88.7,570101040002,57,STEUBEN
ADIRONDACK HIGH SCHOOL,0.0,0.0,0.0,42.21,0.0,48.05,0.0,87.34,0.0,0.0,0.0,51.95,0.0,0.0,57.79,0.0,0.0,0.0,0.0,0.0,0.0,12.66,35.71,89.29,410401060005,41,ONEIDA
AFTON MIDDLE SCHOOL HIGH SCHOOL,0.0,0.0,0.0,54.63,0.0,44.44,0.0,61.11,0.0,0.0,0.0,55.56,0.0,0.0,45.37,0.0,0.0,0.0,0.0,0.0,0.0,9.26,0.0,84.72,80101040003,8,CHENANGO
AKRON  HIGH SCHOOL,2.81,0.0,0.0,32.5,0.0,50.0,0.0,90.31,0.0,0.0,0.0,50.0,0.0,0.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,9.69,85.94,58.44,142101040002,14,ERIE
ALBANY HIGH SCHOOL,0.0,8.54,53.16,53.76,7.78,49.57,1.01,86.66,15.82,2.88,0.0,50.43,0.0,0.0,46.24,92.22,97.12,0.0,0.0,0.0,0.0,13.34,19.61,70.06,10100010034,1,ALBANY
ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS,0.0,3.57,68.3,77.68,3.12,0.0,0.0,65.62,14.29,9.82,0.0,0.0,0.0,0.0,22.32,38.39,90.18,0.0,0.0,0.0,0.0,4.91,4.91,87.28,10100860960,1,ALBANY
ALDEN SENIOR HIGH SCHOOL,0.0,0.0,0.0,24.94,0.0,48.25,0.0,86.71,0.0,0.0,0.0,51.75,0.0,0.0,75.06,0.0,0.0,0.0,0.0,0.0,0.0,13.29,31.24,93.47,140101060006,14,ERIE
ALEXANDER HAMILTON HIGH SCHOOL,0.0,0.0,32.27,59.55,0.0,50.0,0.0,83.64,47.27,0.0,0.0,50.0,0.0,0.0,40.45,0.0,0.0,0.0,0.0,0.0,0.0,16.36,8.64,97.95,660409020003,66,WESTCHESTER
ALEXANDER MIDDLE SCHOOL- HIGH SCHOOL,0.0,0.0,0.0,30.69,0.0,50.99,0.0,58.42,0.0,0.0,0.0,49.01,0.0,0.0,69.31,0.0,0.0,0.0,0.0,0.0,0.0,6.93,59.41,91.09,180202040003,18,GENESEE
ALEXANDRIA CENTRAL HIGH SCHOOL,0.0,0.0,0.0,42.86,0.0,46.62,0.0,28.57,0.0,0.0,0.0,53.38,0.0,0.0,57.14,0.0,0.0,0.0,0.0,0.0,0.0,6.77,0.0,96.99,220202040002,22,JEFFERSON
ALFRED E SMITH CAREER AND TECHNICAL HIGH SCHOOL,0.0,0.0,6.79,84.91,16.98,7.17,5.28,71.32,75.09,11.7,0.0,63.77,0.0,0.0,15.09,83.02,88.3,0.0,0.0,0.0,0.0,28.68,0.0,84.15,320700011600,32,BRONX
ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,34.06,0.0,47.1,0.0,55.8,0.0,0.0,0.0,52.9,0.0,0.0,65.94,0.0,0.0,0.0,0.0,0.0,0.0,9.42,31.16,92.75,20101040002,2,ALLEGANY
ALL CITY LEADERSHIP SECONDARY SCHOOL,0.0,4.38,0.0,67.5,0.0,52.5,0.0,88.12,78.12,0.0,0.0,47.5,0.0,0.0,8.12,0.0,0.0,0.0,0.0,0.0,0.0,11.88,0.0,98.12,333200011554,33,KINGS
ALLEGANY-LIMESTONE HIGH SCHOOL,0.0,0.0,0.0,34.04,0.0,54.47,0.0,91.06,0.0,0.0,0.0,45.53,0.0,0.0,65.96,0.0,0.0,0.0,0.0,0.0,0.0,8.94,28.09,92.77,40302060001,4,CATTARAUGUS
ALTMAR-PARISH-WILLIAMSTOWN HIGH SCHOOL,0.0,0.0,0.0,52.33,0.0,51.67,0.0,84.0,0.0,7.0,0.0,48.33,0.0,0.0,47.67,0.0,93.0,0.0,0.0,0.0,0.0,16.0,60.0,84.5,460102040006,46,OSWEGO
AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,0.0,0.0,22.73,54.55,0.0,70.91,0.0,77.27,66.36,4.55,0.0,29.09,0.0,0.0,9.09,0.0,31.82,0.0,0.0,0.0,0.0,22.73,0.0,92.73,310200010047,31,NEW YORK
AMHERST CENTRAL HIGH SCHOOL,0.0,7.45,15.73,28.64,1.66,49.17,0.83,88.25,3.81,0.0,0.0,50.83,0.0,0.0,71.36,63.74,0.0,0.0,0.0,0.0,0.0,11.75,69.04,95.12,140201060002,14,ERIE
AMITYVILLE MEMORIAL HIGH SCHOOL,0.0,0.71,46.79,71.18,18.4,48.07,0.0,85.16,44.08,5.99,0.0,51.93,0.0,0.0,28.82,81.6,94.01,0.0,0.0,0.0,0.0,14.84,6.13,80.6,580106030005,58,SUFFOLK
AMSTERDAM HIGH SCHOOL,0.0,0.0,6.56,54.95,5.07,50.0,0.0,82.43,39.98,1.49,0.0,50.0,0.0,0.0,45.05,94.93,64.23,0.0,0.0,0.0,0.0,17.57,50.25,75.99,270100010010,27,MONTGOMERY
ANDES CENTRAL SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91,120102040001,12,DELAWARE
ANDOVER SCHOOL,0.0,0.0,0.0,43.66,0.0,49.3,0.0,0.0,0.0,0.0,0.0,50.7,0.0,0.0,56.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.96,20601040001,2,ALLEGANY
ANTONIA PANTOJA PREPARATORY ACADEMY,0.0,0.0,15.79,76.61,8.19,52.05,7.6,79.53,62.57,16.37,0.0,47.95,0.0,0.0,23.39,60.23,83.63,0.0,0.0,0.0,0.0,20.47,0.0,65.5,320800011376,32,BRONX
ARCADIA HIGH SCHOOL,0.0,2.61,12.44,52.49,0.59,46.68,0.0,85.66,12.44,1.42,0.0,53.32,0.0,0.59,47.51,36.02,66.94,0.0,0.0,0.0,0.0,14.34,70.26,92.65,260501060010,26,MONROE
"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICAT",0.0,0.0,29.92,78.03,0.0,36.36,0.0,73.86,60.61,11.74,0.0,63.64,0.0,0.0,21.97,0.0,88.26,0.0,0.0,0.0,0.0,26.14,0.0,72.73,320800011367,32,BRONX
ARDSLEY HIGH SCHOOL,0.0,17.58,1.06,10.59,0.0,48.94,0.0,90.25,6.99,0.0,0.0,51.06,0.0,0.0,89.41,0.0,0.0,0.0,0.0,0.0,0.0,9.75,68.64,97.88,660405030001,66,WESTCHESTER
ARGYLE HIGH SCHOOL,0.0,0.0,0.0,41.6,0.0,54.4,0.0,35.2,0.0,0.0,0.0,45.6,0.0,0.0,58.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,93.6,640101040001,64,WASHINGTON
ARKPORT CENTRAL SCHOOL,0.0,0.0,0.0,31.11,0.0,53.33,0.0,34.44,0.0,0.0,0.0,46.67,0.0,0.0,68.89,0.0,0.0,0.0,0.0,0.0,0.0,5.56,0.0,92.22,571901040004,57,STEUBEN
ARLINGTON HIGH SCHOOL,0.0,4.65,9.12,21.99,0.27,49.65,0.27,88.01,10.58,1.64,0.0,50.35,0.0,1.42,78.01,29.96,98.36,0.0,0.0,0.0,0.0,11.99,74.25,92.19,131601060008,13,DUTCHESS
ART AND DESIGN HIGH SCHOOL,0.0,4.06,20.52,64.72,0.0,58.57,1.98,80.28,56.1,4.26,0.0,41.43,0.0,0.0,35.28,0.0,95.74,0.0,0.0,0.0,0.0,19.72,13.18,90.29,310200011630,31,NEW YORK
ARTS AND MEDIA PREPARATORY ACADEMY,0.0,0.0,83.33,83.33,0.0,43.75,0.0,85.42,0.0,0.0,0.0,56.25,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,14.58,0.0,70.83,331800011589,33,KINGS
ARTURO SCHOMBURG SATELLITE ACADEMY-BRONX,0.0,0.0,0.0,82.75,13.1,56.87,4.15,81.79,60.06,7.67,0.0,43.13,0.0,0.0,17.25,86.9,92.33,0.0,0.0,0.0,0.0,18.21,0.0,35.14,321200011446,32,BRONX
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,0.0,0.0,76.67,84.24,0.0,50.3,0.0,78.79,8.48,13.03,0.0,49.7,0.0,0.0,15.76,0.0,86.97,0.0,0.0,0.0,0.0,21.21,0.0,35.3,332300011646,33,KINGS
ASTOR COLLEGIATE HIGH SCHOOL,0.0,0.0,33.93,75.3,1.79,43.45,1.49,76.79,46.73,4.17,0.0,56.55,0.0,0.0,24.7,30.65,63.39,0.0,0.0,0.0,0.0,23.21,10.42,80.95,321100011299,32,BRONX
ATTICA SENIOR HIGH SCHOOL,0.0,0.0,0.0,29.6,0.0,47.13,0.0,82.76,0.0,0.0,0.0,52.87,0.0,0.0,70.4,0.0,0.0,0.0,0.0,0.0,0.0,17.24,31.32,94.54,670201060001,67,WYOMING
AUBURN HIGH SCHOOL,0.0,0.0,11.37,39.81,0.0,50.0,0.0,90.77,3.97,2.58,0.0,50.0,0.0,0.86,60.19,0.0,62.34,0.0,0.0,0.0,0.0,9.23,80.15,79.61,50100010013,5,CAYUGA
AUGUST MARTIN HIGH SCHOOL,1.85,5.56,72.22,76.3,2.22,41.11,0.0,82.22,12.22,10.0,0.0,58.89,0.0,0.0,23.7,42.22,90.0,0.0,0.0,0.0,0.0,17.78,0.0,75.19,342700011400,34,QUEENS
AUSABLE VALLEY HIGH SCHOOL,0.0,0.0,0.0,52.71,0.0,49.1,0.0,80.87,0.0,0.0,0.0,50.9,0.0,0.0,47.29,0.0,0.0,0.0,0.0,0.0,0.0,19.13,0.0,87.73,90201040002,9,CLINTON
AUTOMOTIVE HIGH SCHOOL,0.0,0.0,46.44,79.5,6.28,10.88,0.0,68.62,39.33,2.93,0.0,89.12,0.0,0.0,20.5,75.31,45.61,0.0,0.0,0.0,0.0,31.38,0.0,78.24,331400011610,33,KINGS
AVERILL PARK HIGH SCHOOL,0.0,0.68,0.0,19.05,0.0,50.14,0.0,82.3,1.35,0.0,0.0,49.86,0.0,1.49,80.95,0.0,0.0,0.0,0.0,0.0,0.0,17.7,93.92,92.57,491302060002,49,RENSSELAER
AVIATION CAREER AND TECHNICAL HIGH SCHOOL,0.38,33.46,4.76,56.32,0.83,20.0,3.81,89.52,47.49,0.32,0.0,80.0,0.0,0.89,43.68,58.16,29.27,0.0,0.0,0.0,0.0,10.48,11.17,85.87,342400011610,34,QUEENS
AVOCA CENTRAL SCHOOL,0.0,0.0,0.0,59.14,0.0,37.63,0.0,0.0,0.0,0.0,0.0,62.37,0.0,0.0,40.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.16,570201040002,57,STEUBEN
AVON HIGH SCHOOL,0.0,0.0,0.0,22.75,0.0,47.87,0.0,53.55,0.0,0.0,0.0,52.13,0.0,0.0,77.25,0.0,0.0,0.0,0.0,0.0,0.0,6.16,61.61,91.47,240101040002,24,LIVINGSTON
BABYLON JUNIOR-SENIOR HIGH SCHOOL,0.0,1.24,1.49,15.84,2.48,49.26,0.0,89.36,13.12,0.0,0.0,50.74,0.0,0.0,84.16,63.86,0.0,0.0,0.0,0.0,0.0,10.64,79.95,96.41,580101030002,58,SUFFOLK
BACCALAUREATE SCHOOL OF GLOBAL EDUCATION,0.0,41.74,0.0,43.12,0.0,60.09,0.0,0.0,4.59,0.0,0.0,39.91,0.0,2.29,56.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.78,99.54,343000011580,34,QUEENS
BAINBRIDGE-GUILFORD HIGH SCHOOL,0.0,0.0,0.0,41.41,0.0,50.51,0.0,61.11,0.0,0.0,0.0,49.49,0.0,0.0,58.59,0.0,0.0,0.0,0.0,0.0,0.0,8.08,59.6,94.44,80201040001,8,CHENANGO
BALDWIN SENIOR HIGH SCHOOL,0.0,4.17,50.43,26.61,1.57,50.96,2.09,87.04,23.3,1.39,0.0,49.04,0.0,2.43,73.39,63.57,63.74,0.0,0.0,0.0,0.0,12.96,19.65,97.26,280210030013,28,NASSAU
BALLSTON SPA SENIOR HIGH SCHOOL,0.0,0.73,2.2,29.91,0.0,47.85,0.0,86.88,1.47,4.51,0.0,52.15,0.0,0.0,70.09,0.0,95.49,0.0,0.0,0.0,0.0,13.12,93.81,90.14,521301060001,52,SARATOGA
BARD HIGH SCHOOL EARLY COLLEGE,0.0,25.76,11.87,44.95,0.0,60.61,0.0,0.0,6.31,0.0,0.0,39.39,0.0,0.0,55.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,98.86,310100011696,31,NEW YORK
BARD HIGH SCHOOL EARLY COLLEGE II,0.0,35.63,11.49,40.46,0.0,58.39,0.0,0.0,15.86,0.0,0.0,41.61,0.0,0.0,59.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02,99.31,342400011299,34,QUEENS
BARKER HIGH SCHOOL,0.0,0.0,0.0,46.63,0.0,44.94,0.0,26.4,0.0,0.0,0.0,55.06,0.0,0.0,53.37,0.0,0.0,0.0,0.0,0.0,0.0,5.62,88.76,96.91,401301040003,40,NIAGARA
BARUCH COLLEGE CAMPUS HIGH SCHOOL,0.0,47.06,0.0,48.82,0.0,57.35,0.0,87.35,9.12,0.0,0.0,42.65,0.0,0.0,51.18,0.0,0.0,0.0,0.0,0.0,0.0,12.65,32.94,100.0,310200011411,31,NEW YORK
BATAVIA HIGH SCHOOL,0.0,0.0,5.56,51.44,0.0,51.03,0.0,86.83,6.79,0.0,0.0,48.97,0.0,2.06,48.56,0.0,0.0,0.0,0.0,0.0,0.0,13.17,77.37,94.03,180300010006,18,GENESEE
BAY SHORE SENIOR HIGH SCHOOL,0.0,2.83,21.52,49.17,5.31,48.55,0.34,86.83,38.97,2.07,0.0,51.45,0.0,0.69,50.83,94.69,97.93,0.0,0.0,0.0,0.0,13.17,34.0,90.48,580501030006,58,SUFFOLK
BAYPORT-BLUE POINT HIGH SCHOOL,0.0,0.0,0.0,12.08,0.0,48.86,0.0,88.97,4.55,0.0,0.0,51.14,0.0,0.0,87.92,0.0,0.0,0.0,0.0,0.0,0.0,11.03,91.59,97.9,580505020004,58,SUFFOLK
BAYSIDE HIGH SCHOOL,0.0,41.38,12.17,74.75,2.29,50.29,5.11,84.89,26.55,3.35,0.0,49.71,0.0,0.0,25.25,97.71,96.65,0.0,0.0,0.0,0.0,15.11,18.75,98.41,342600011495,34,QUEENS
BEACON HIGH SCHOOL,0.0,2.21,16.88,34.22,0.52,58.83,0.0,88.38,24.09,0.71,0.0,41.17,0.0,3.05,65.78,14.61,27.6,0.0,0.0,0.0,0.0,11.62,49.29,94.55,130200010005,13,DUTCHESS
BEACON HIGH SCHOOL,0.0,2.21,16.88,34.22,0.52,58.83,0.0,88.38,24.09,0.71,0.0,41.17,0.0,3.05,65.78,14.61,27.6,0.0,0.0,0.0,0.0,11.62,49.29,94.55,310300011479,31,NEW YORK
BEAVER RIVER MIDDLE/SENIOR HIGH SCHOOL,0.0,0.0,0.0,51.49,0.0,50.99,0.0,60.89,0.0,0.0,0.0,49.01,0.0,0.0,48.51,0.0,0.0,0.0,0.0,0.0,0.0,8.42,0.0,95.54,231301040002,23,LEWIS
BEDFORD ACADEMY HIGH SCHOOL,0.0,0.0,81.93,77.51,0.0,56.63,0.0,91.97,6.83,0.0,0.0,43.37,0.0,2.41,22.49,0.0,0.0,0.0,0.0,0.0,0.0,8.03,0.0,99.2,331300011595,33,KINGS
BEDFORD STUYVESANT PREPRETORY HIGH SCHOOL,0.0,0.0,56.36,52.73,0.0,56.36,0.0,0.0,0.0,0.0,0.0,43.64,0.0,0.0,12.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.09,331300011575,33,KINGS
BEEKMANTOWN HIGH SCHOOL,0.0,0.0,0.0,48.33,0.0,46.77,0.0,80.85,0.0,3.12,0.0,53.23,0.0,0.0,51.67,0.0,64.37,0.0,0.0,0.0,0.0,19.15,64.14,89.76,90301060006,9,CLINTON
BELFAST SCHOOL,0.0,0.0,0.0,49.23,0.0,41.54,0.0,0.0,0.0,0.0,0.0,58.46,0.0,0.0,50.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.31,20801040001,2,ALLEGANY
BELIEVE NORTHSIDE CHARTER HIGH SCHOOL,0.0,0.0,23.46,79.23,2.31,52.69,1.92,83.46,67.31,0.0,0.0,47.31,0.0,0.0,20.77,33.46,0.0,0.0,0.0,0.0,0.0,16.54,0.0,91.15,331400860945,33,KINGS
BELLEVILLE HENDERSON CENTRAL SCHOOL,0.0,0.0,0.0,47.25,0.0,58.24,0.0,35.16,0.0,0.0,0.0,41.76,0.0,0.0,52.75,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,91.21,220909040010,22,JEFFERSON
BELLPORT SENIOR HIGH SCHOOL,0.0,1.51,20.79,55.8,5.45,49.24,0.0,86.98,31.79,3.03,0.0,50.76,0.0,0.0,44.2,94.55,96.97,0.0,0.0,0.0,0.0,13.02,43.59,88.9,580235060006,58,SUFFOLK
BELMONT PREPERATORY HIGH SCHOOL,0.0,0.0,8.22,81.16,0.0,54.11,6.51,83.22,66.44,2.4,0.0,45.89,0.0,0.0,18.84,0.0,34.25,0.0,0.0,0.0,0.0,16.78,0.0,89.73,321000011434,32,BRONX
BENJAMIN BANNEKER ACADEMY,0.99,1.32,86.16,67.71,0.0,57.0,0.0,92.42,7.58,3.95,0.0,43.0,0.0,0.0,32.29,0.0,96.05,0.0,0.0,0.0,0.0,7.58,0.0,97.2,331300011670,33,KINGS
BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE AND INFORMATION TE,0.0,13.44,67.2,88.17,7.53,41.94,2.69,82.8,8.6,3.76,0.0,58.06,0.0,0.0,11.83,92.47,44.62,0.0,0.0,0.0,0.0,17.2,0.0,86.02,342900011313,34,QUEENS
BENJAMIN N CARDOZO HIGH SCHOOL,0.3,45.37,19.51,58.45,2.23,51.8,5.17,89.22,19.06,2.45,0.0,48.2,0.0,0.3,41.55,97.77,97.55,0.0,0.0,0.0,0.0,10.78,14.72,91.64,342600011415,34,QUEENS
BENNETT HIGH SCHOOL,0.0,0.0,88.24,85.29,0.0,48.53,0.0,80.88,0.0,0.0,0.0,51.47,0.0,0.0,14.71,0.0,0.0,0.0,0.0,0.0,0.0,19.12,0.0,66.18,140600010099,14,ERIE
BERKSHIRE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100308020001,10,COLUMBIA
BERLIN HIGH SCHOOL,0.0,0.0,0.0,50.84,0.0,46.93,0.0,83.8,0.0,0.0,0.0,53.07,0.0,0.0,49.16,0.0,0.0,0.0,0.0,0.0,0.0,16.2,0.0,82.68,490101040006,49,RENSSELAER
BERNE-KNOX-WESTERLO JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,33.16,0.0,42.63,0.0,87.37,0.0,0.0,0.0,57.37,0.0,0.0,66.84,0.0,0.0,0.0,0.0,0.0,0.0,12.63,0.0,94.21,10201040001,1,ALBANY
BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.0,7.53,0.99,11.92,0.0,50.17,0.75,94.7,3.31,0.0,0.0,49.83,0.0,0.5,88.08,0.0,0.0,0.0,0.0,0.0,0.0,5.3,85.51,95.9,10306060008,1,ALBANY
BETHPAGE SENIOR HIGH SCHOOL,0.0,4.19,0.0,19.89,0.68,47.23,0.0,90.53,13.26,0.0,0.0,52.77,0.0,0.0,80.11,32.61,0.0,0.0,0.0,0.0,0.0,9.47,74.7,98.65,280521030006,28,NASSAU
BINGHAMTON HIGH SCHOOL,0.0,1.18,26.95,67.76,2.6,50.46,0.42,83.54,13.1,4.2,0.0,49.54,0.0,7.05,32.24,97.4,95.8,0.0,0.0,0.0,0.0,16.46,49.12,73.93,30200010021,3,BROOME
BIRCHWOOD SCHOOL,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.21,500101060020,50,ROCKLAND
BLIND BROOK  HIGH SCHOOL,0.0,1.9,0.0,0.0,0.0,46.61,0.0,88.08,1.9,0.0,0.0,53.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.92,89.7,100.0,661905020002,66,WESTCHESTER
