AGGREGATION_NAME,AMERICAN INDIAN/ALASKA NATIVE,ASIAN/PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,ENGLISH LANGUAGE LEARNER,FEMALE,FORMERLY ENGLISH LANGUAGE LEARNER,GENERAL EDUCATION STUDENTS,HISPANIC,HOMELESS,IN FOSTER CARE,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT ENGLISH LANGUAGE LEARNER,NOT HOMELESS,NOT MIGRANT,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME
PATCHOGUE-MEDFORD HIGH SCHOOL,0.0,1.9,5.03,48.68,5.87,49.58,2.17,92.28,34.87,2.75,0.0,50.42,0.0,0.85,51.32,94.13,97.25,0.0,0.0,0.0,0.0,7.72,55.98,90.5,580224030008,58,SUFFOLK
PATHWAYS ACADEMY,0.0,3.3,63.7,72.94,8.58,50.17,2.31,72.94,16.17,5.94,0.0,43.89,0.0,0.0,27.06,71.95,74.59,0.0,0.0,0.0,0.0,13.53,4.95,17.49,140600010140,14,ERIE
PATHWAYS ACADEMY,0.0,3.3,63.7,72.94,8.58,50.17,2.31,72.94,16.17,5.94,0.0,43.89,0.0,0.0,27.06,71.95,74.59,0.0,0.0,0.0,0.0,13.53,4.95,17.49,140600010316,14,ERIE
PATHWAYS COLLEGE PREPARATORY SCHOOL,0.0,0.0,88.45,70.92,1.99,47.81,0.0,86.45,2.39,4.38,0.0,52.19,0.0,0.0,29.08,33.47,60.96,0.0,0.0,0.0,0.0,13.55,0.0,80.88,342900011259,34,QUEENS
PATHWAYS IN TECHNOLOGY EARLY COLLEGE HIGH SCHOOL,0.0,0.0,86.82,69.45,0.0,32.15,0.0,83.28,6.75,3.22,0.0,67.85,0.0,0.0,30.55,0.0,68.81,0.0,0.0,0.0,0.0,16.72,0.0,82.48,331700011122,33,KINGS
PAUL D SCHREIBER SENIOR HIGH SCHOOL,0.0,11.47,0.74,21.7,6.31,48.81,1.06,94.35,20.97,1.31,0.0,51.19,0.0,0.0,78.3,93.69,66.01,0.0,0.0,0.0,0.0,5.65,64.21,94.35,280404030009,28,NASSAU
PAUL V MOORE HIGH SCHOOL,0.0,0.0,0.0,39.91,0.0,49.2,0.0,88.15,0.53,0.0,0.0,50.8,0.0,0.0,60.09,0.0,0.0,0.0,0.0,0.0,0.0,11.85,96.05,88.26,460801060005,46,OSWEGO
PAVILION JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,42.46,0.0,51.4,0.0,85.47,0.0,0.0,0.0,48.6,0.0,0.0,57.54,0.0,0.0,0.0,0.0,0.0,0.0,14.53,0.0,96.09,181201040001,18,GENESEE
PAWLING HIGH SCHOOL,0.0,0.0,0.0,20.29,0.0,50.0,0.0,91.3,9.06,0.0,0.0,50.0,0.0,0.0,79.71,0.0,0.0,0.0,0.0,0.0,0.0,8.7,79.71,93.66,131201040002,13,DUTCHESS
PEACE AND DIVERSITY ACADEMY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321200011278,32,BRONX
PEARL RIVER HIGH SCHOOL,0.0,2.07,0.86,11.03,0.0,51.03,0.0,88.28,6.72,1.55,0.0,48.97,0.0,0.0,88.97,0.0,34.48,0.0,0.0,0.0,0.0,11.72,86.55,99.4,500308030008,50,ROCKLAND
PEEKSKILL HIGH SCHOOL,0.0,0.0,27.11,77.46,10.37,46.89,2.9,83.13,59.2,9.82,0.0,53.11,0.0,0.0,22.54,89.63,90.18,0.0,0.0,0.0,0.0,16.87,10.51,76.35,661500010009,66,WESTCHESTER
PELHAM LAB HIGH SCHOOL,0.0,3.6,20.72,72.97,12.01,43.24,2.7,77.18,58.26,5.41,0.0,56.76,0.0,0.0,27.03,87.99,61.56,0.0,0.0,0.0,0.0,22.82,6.61,71.17,320800011320,32,BRONX
PELHAM MEMORIAL HIGH SCHOOL,0.0,4.08,6.74,12.54,0.0,44.98,0.0,90.13,19.28,0.0,0.0,55.02,0.0,2.66,87.46,0.0,0.0,0.0,0.0,0.0,0.0,9.87,65.83,97.88,661601030005,66,WESTCHESTER
PELHAM PREP ACADEMY,1.29,4.37,31.36,75.84,2.83,54.76,1.8,81.23,51.41,3.34,0.0,45.24,0.0,1.29,24.16,33.16,67.35,0.0,0.0,0.0,0.0,18.77,7.2,89.33,321100011542,32,BRONX
PEMBROKE JUNIOR-SENIOR HIGH SCHOOL,0.0,0.0,0.0,27.03,0.0,52.7,0.0,90.54,0.0,0.0,0.0,47.3,0.0,0.0,72.97,0.0,0.0,0.0,0.0,0.0,0.0,9.46,30.63,97.07,181302040002,18,GENESEE
PENFIELD SENIOR HIGH SCHOOL,0.0,2.31,3.51,18.47,0.0,49.49,0.0,91.23,6.0,0.55,0.0,50.51,0.0,2.22,81.53,0.0,33.98,0.0,0.0,0.0,0.0,8.77,84.95,96.68,261201060006,26,MONROE
PENN YAN ACADEMY,0.0,0.0,0.0,52.55,0.0,46.43,0.0,89.03,1.79,3.57,0.0,53.57,0.0,0.0,47.45,0.0,66.84,0.0,0.0,0.0,0.0,10.97,91.58,84.57,680601060001,68,YATES
PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,0.0,0.0,72.16,89.74,5.49,58.97,1.83,78.75,0.0,8.79,0.0,41.03,0.0,0.0,10.26,61.17,58.24,0.0,0.0,0.0,0.0,21.25,0.0,81.5,331900011507,33,KINGS
PERRY HIGH SCHOOL,0.0,0.0,0.0,45.56,0.0,47.78,0.0,63.89,0.0,0.0,0.0,52.22,0.0,0.0,54.44,0.0,0.0,0.0,0.0,0.0,0.0,8.89,0.0,93.33,671201060002,67,WYOMING
PERU JR/SR HIGH SCHOOL,0.0,0.0,1.08,37.53,0.0,47.72,0.0,84.6,0.0,0.0,0.0,52.28,0.0,0.0,62.47,0.0,0.0,0.0,0.0,0.0,0.0,15.4,94.79,88.94,91101060005,9,CLINTON
