,AGGREGATION_NAME,AMERICAN INDIAN OR ALASKA NATIVE,ASIAN OR PACIFIC ISLANDER,BLACK,ECONOMICALLY DISADVANTAGED,FEMALE,FORMERLY LIMITED ENGLISH PROFICIENT,GENERAL EDUCATION STUDENTS,HISPANIC,LIMITED ENGLISH PROFICIENT,MALE,MIGRANT,MULTIRACIAL,NOT ECONOMICALLY DISADVANTAGED,NOT LIMITED ENGLISH PROFICIENT,NOT MIGRANT,STUDENTS WITH DISABILITIES,WHITE,PCT_GRAD,AGGREGATION_CODE,COUNTY_CODE,COUNTY_NAME,YEAR,HOMELESS,IN FOSTER CARE,NOT HOMELESS,NOT IN FOSTER CARE,PARENT NOT IN ARMED FORCES,PARENT IN ARMED FORCES,NUM_OUT_CERT,PER_TEACH_INEXP,PER_OUT_CERT,NRC_CODE,CHARTER
17,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,0.0,0.0,0.0,33.22,47.7,0.0,82.69,0.0,0.0,52.3,0.0,0.0,66.78,0.0,0.0,17.31,0.0,86.93,10201040001,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.03,4.31,5.0,False
18,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,0.0,0.0,0.0,29.1,44.4,0.0,85.82,0.0,0.0,55.6,0.0,0.0,70.9,0.0,0.0,14.18,0.0,92.16,10201040001,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.04,3.36,5.0,False
19,BERNE-KNOX-WESTERLO JUNIOR-SENIOR HS,0.0,0.0,0.0,35.53,45.42,0.0,90.48,0.0,0.0,54.58,0.0,0.0,64.47,0.0,0.0,9.52,0.0,94.51,10201040001,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,5.0,False
20,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.25,5.35,1.97,8.36,47.23,0.12,95.45,2.34,0.31,52.77,0.0,0.49,91.64,99.69,100.0,4.55,89.61,94.53,10306060008,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.32,6.0,False
21,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.0,4.6,1.84,10.87,47.58,0.0,94.35,1.17,0.0,52.42,0.0,0.0,89.13,0.0,0.0,5.65,90.48,94.29,10306060008,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,6.0,False
22,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.0,6.5,0.95,11.74,49.94,0.0,94.0,2.53,0.0,50.06,0.0,0.0,88.26,0.0,0.0,6.0,87.37,94.7,10306060008,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44,0.0,6.0,False
23,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.0,6.74,0.91,12.75,49.0,0.97,94.17,2.61,0.0,51.0,0.0,0.0,87.25,0.0,0.0,5.83,87.13,95.63,10306060008,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.74,0.99,6.0,False
24,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,0.0,7.53,0.99,11.92,50.17,0.75,94.7,3.31,0.0,49.83,0.0,0.5,88.08,0.0,0.0,5.3,85.51,95.9,10306060008,1,ALBANY,2019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.2,0.48,6.0,False
25,RAVENA SENIOR HIGH SCHOOL,0.0,0.0,3.57,40.24,52.14,0.0,87.14,3.33,0.0,47.86,0.0,1.19,59.76,0.0,0.0,12.86,85.0,90.24,10402060001,1,ALBANY,2019,2.62,0.0,65.71,0.0,0.0,0.0,2.0,14.66,1.85,5.0,False
26,RAVENA-COEYMANS-SELKIRK SR HS,0.33,0.5,4.46,27.23,50.5,0.0,88.94,4.46,0.5,49.5,0.0,0.5,72.77,99.5,100.0,11.06,89.77,91.42,10402060001,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92,0.0,5.0,False
27,RAVENA-COEYMANS-SELKIRK SR HS,0.0,0.0,3.1,28.92,47.06,0.0,88.89,3.59,0.0,52.94,0.0,0.0,71.08,0.0,0.0,11.11,89.22,88.07,10402060001,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,5.0,False
28,RAVENA-COEYMANS-SELKIRK SR HS,0.0,0.0,4.95,32.16,45.41,0.0,87.81,1.24,0.0,54.59,0.0,0.0,67.84,0.0,0.0,12.19,87.99,87.63,10402060001,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,0.0,5.0,False
29,RAVENA-COEYMANS-SELKIRK SR HS,0.0,0.0,2.28,38.25,48.6,0.0,88.07,6.14,0.0,51.4,0.0,1.75,61.75,0.0,0.0,11.93,84.56,88.25,10402060001,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.97,1.92,5.0,False
30,COHOES HIGH SCHOOL,0.0,1.25,10.73,54.03,51.52,0.18,87.66,6.62,0.36,48.48,0.0,4.11,45.97,99.64,100.0,12.34,77.28,82.47,10500010007,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.73,2.19,3.0,False
31,COHOES HIGH SCHOOL,0.0,0.0,12.21,58.41,51.15,0.0,86.73,6.9,0.0,48.85,0.0,0.0,41.59,0.0,0.0,13.27,75.75,77.35,10500010007,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.9,5.07,3.0,False
32,COHOES HIGH SCHOOL,0.0,0.0,9.21,58.2,50.46,0.0,87.85,3.87,0.0,49.54,0.0,0.0,41.8,0.0,0.0,12.15,80.66,80.29,10500010007,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.76,5.04,3.0,False
33,COHOES HIGH SCHOOL,0.0,0.0,11.55,62.04,52.64,0.0,86.3,5.28,0.0,47.36,0.0,0.0,37.96,0.0,0.0,13.7,77.5,78.28,10500010007,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.79,0.0,3.0,False
34,COHOES HIGH SCHOOL,0.0,0.0,10.73,63.35,51.57,0.0,84.29,4.71,0.0,48.43,0.0,1.31,36.65,0.0,0.0,15.71,79.06,82.46,10500010007,1,ALBANY,2019,1.83,0.0,32.98,0.0,0.0,0.0,1.0,13.39,1.01,3.0,False
35,COLONIE CENTRAL HIGH SCHOOL,0.06,6.22,8.47,18.73,49.74,0.46,87.26,5.01,1.1,50.26,0.0,3.23,81.27,98.9,100.0,12.74,77.0,90.03,10601060008,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,False
36,COLONIE CENTRAL HIGH SCHOOL,0.0,6.95,7.94,20.45,48.96,0.0,86.38,6.78,1.33,51.04,0.0,1.68,79.55,71.96,0.0,13.62,75.14,90.32,10601060008,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,5.0,False
37,COLONIE CENTRAL HIGH SCHOOL,0.0,8.02,7.4,22.2,48.76,0.0,84.95,6.09,0.56,51.24,0.0,3.3,77.8,25.87,0.0,15.05,74.38,92.29,10601060008,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29,5.0,False
38,COLONIE CENTRAL HIGH SCHOOL,0.0,9.57,7.56,27.99,48.66,0.0,84.39,7.56,1.16,51.34,0.0,3.54,72.01,75.37,0.0,15.61,70.98,91.89,10601060008,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,5.0,False
39,COLONIE CENTRAL HIGH SCHOOL,0.0,9.3,7.25,31.23,49.23,0.0,83.62,7.76,0.68,50.77,0.0,3.33,68.77,30.72,0.0,16.38,70.22,93.0,10601060008,1,ALBANY,2019,2.56,0.0,97.44,0.0,0.0,0.0,1.0,3.67,0.43,5.0,False
40,SHAKER HIGH SCHOOL,0.05,9.18,8.35,14.31,48.51,0.49,87.01,3.22,1.42,51.49,0.0,0.88,85.69,98.58,100.0,12.99,78.31,93.99,10623060010,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.69,0.21,6.0,False
41,SHAKER HIGH SCHOOL,0.0,10.19,6.5,16.49,48.62,0.0,87.45,3.54,0.94,51.38,0.0,1.08,83.51,74.66,0.0,12.55,78.44,93.85,10623060010,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.52,0.42,6.0,False
42,SHAKER HIGH SCHOOL,0.0,12.94,7.18,18.6,49.45,0.0,88.95,4.14,0.0,50.55,0.0,1.26,81.4,0.0,0.0,11.05,74.49,93.98,10623060010,1,ALBANY,2017,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.54,0.85,6.0,False
43,SHAKER HIGH SCHOOL,0.0,15.02,6.51,22.58,49.43,1.94,89.61,4.48,0.8,50.57,0.0,0.7,77.42,51.32,0.0,10.39,71.41,95.03,10623060010,1,ALBANY,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.98,0.0,6.0,False
44,SHAKER HIGH SCHOOL,0.0,16.52,7.28,24.01,50.44,1.75,88.87,5.39,1.08,49.56,0.0,0.4,75.99,68.31,0.0,11.13,68.44,94.84,10623060010,1,ALBANY,2019,0.88,0.0,65.07,0.0,0.0,0.0,2.0,6.16,0.65,6.0,False
45,HEATLY SCHOOL,0.0,2.82,5.63,56.34,53.52,0.0,88.73,1.41,0.0,46.48,0.0,1.41,43.66,100.0,100.0,11.27,88.73,64.79,10701030001,1,ALBANY,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11,0.0,3.0,False
46,HEATLY SCHOOL,0.0,0.0,0.0,61.54,50.0,0.0,0.0,0.0,0.0,38.46,0.0,0.0,26.92,0.0,0.0,0.0,46.15,69.23,10701030001,1,ALBANY,2016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.25,1.2,3.0,False
